variable,state,n,reliability,all100_enrich_+5,all100_z_+5,all100_enrich_+4,all100_z_+4,all100_enrich_+3,all100_z_+3,all100_enrich_+2,all100_z_+2,all100_enrich_+1,all100_z_+1,all100_enrich_-1,all100_z_-1,all100_enrich_-2,all100_z_-2,all100_orient_agree,best_enrich_+5,best_z_+5,best_enrich_+4,best_z_+4,best_enrich_+3,best_z_+3,best_enrich_+2,best_z_+2,best_enrich_+1,best_z_+1,best_enrich_-1,best_z_-1,best_enrich_-2,best_z_-2,best_orient_agree,flag_+5,flag_+4,flag_+3,flag_+1,flag_-1,flag_-2
amyThal,2,29,p>n (overfit),1.8542088335164182,4.884085636355654,1.0666847738494816,0.43881791513011176,0.9251898071117299,-0.7955089773496423,1.1130608694679822,1.0208553199781931,1.0541779546810641,0.544659539853824,0.8856287559775429,-1.5233894814050164,0.919654960647913,-1.1499979623175036,0.47213459516298634,1.5414634146341466,1.9274137657174113,1.3604696673189824,1.0702307368837234,0.9935748462064252,0.0,1.2656875834445926,0.96790091965487,0.9867291178766588,0.04519269157693821,1.0676459786999635,0.5054966861019374,1.1639621702339473,0.8883994384865442,0.4666666666666667,False,False,True,True,False,False
amyThal,3,68,p>n (overfit),1.8157916494419184,6.439144040072782,0.978252457240152,-0.33080504390961163,1.0111472826905477,0.05007013036739321,1.151751865010221,1.146302907240361,1.0873531889369623,0.8889761353368087,0.9335018082000787,-1.1640898632509167,0.9579716136144414,-0.5881988954285671,0.423841059602649,1.8054296859608339,3.6499745205737537,1.0489742625091287,0.1606808932941364,1.0503126666718199,0.2906932341245141,1.574441743541739,2.9082420994424623,0.8089903510862754,-1.4759229410860462,0.8661453293520107,-1.3930804238438785,0.9783116524910923,-0.12295540454348765,0.4,True,False,False,False,False,False
amyThal,4,55,p>n (overfit),1.7557063373703607,5.097340247267277,1.1210114519541625,0.9721391028256321,0.9677920479405665,-0.425910004001388,1.1967139260382984,1.6037209223094493,0.9484742662274164,-0.5885661743726738,0.9862878845597185,-0.17689576125367915,1.0307168650073675,0.460213270969299,0.4841754580788451,1.828854898718479,3.886309063196637,1.1005340143951705,0.3281183411183195,0.9738058551617874,-0.2860574435034293,1.3514969111357515,1.767664091786239,0.9072890617764193,-0.7311943240956134,1.129013986318679,1.4391709079451172,0.8397803106360361,-1.4382280845456978,0.42105263157894735,False,False,False,False,False,False
amyThal,5,218,workable,1.4677190551961774,4.765268349240259,1.1135155425569865,0.951978261167076,1.1582194757377067,2.404544841066817,1.020621633974901,0.17759145925042114,0.970635790688715,-0.4377430703562111,0.9460462137135253,-1.0469383997190134,0.9158726751305001,-1.6538831756126882,0.372210953346856,1.4946055120928567,3.071899889478491,0.9528732661325062,-0.18464014256311304,1.1094058760394412,1.1813609885409155,1.0525284586296753,0.3467967667548454,0.9412195988131651,-0.5551085677374307,0.8940841700215033,-1.6801425481474226,0.969473845681853,-0.26062801648862866,0.48,False,False,False,False,False,False
amyA,1,65,p>n (overfit),1.5934657396713245,4.821179835055824,0.9746759771562306,-0.15887084706386675,1.049856429712756,0.5286875779295767,0.950147085622055,-0.3583582483964553,1.1263325063041947,1.5167396948806375,0.9581631670696554,-0.834537731503684,0.8713626809964877,-1.9168981376459873,0.43505674653215637,1.8497560975609755,4.509543286535569,1.1081643835616437,0.4115859817524034,1.1369952153110048,1.0473193308263964,0.9450467289719626,-0.30425548420270626,0.9393661202185793,-0.4238195529097331,0.9488123393316195,-0.5422291938810303,0.7399024390243902,-2.1557751483623355,0.23529411764705882,False,False,False,False,False,False
amyA,2,68,p>n (overfit),1.7760404414840965,6.081396504162156,0.9715839212894037,-0.2838421935762245,1.0148904823743254,0.23478894239884873,1.148409327525055,1.2796998193564098,1.069943869605156,0.8331303007161257,0.9193962854144351,-1.3709144372831128,0.9357709067691086,-1.015987080648289,0.412751677852349,2.057778830215487,4.97717107691168,0.6304029791195638,-1.5294968222318088,1.0030814016506404,-0.005859967410989319,1.2902640413755557,1.4362861775066127,1.2294197747006914,1.5547910575064392,0.8938361577690702,-0.9962026566302045,0.9086296133419033,-0.9552909335741173,0.2857142857142857,False,False,True,True,False,False
amyA,3,277,workable,1.5511754298935772,4.730082552609838,1.077003352011971,0.6801389582402767,1.1288822821938351,1.7995377309954739,1.0481791351220902,0.47183973084323977,0.9712208949655745,-0.39039771836329473,0.9332231051361185,-1.35508333937408,0.9463898081270155,-0.9463710129697149,0.36257309941520466,1.4651005957064178,2.310249304550489,1.1968941354712455,0.9916879782370905,1.306418539016162,2.7499981288259137,0.8505964942503983,-0.9149528975540522,1.0742615396237818,0.608118898868229,0.8797223176524942,-1.6127956398653536,0.989418584113425,-0.019563607975076697,0.625,True,False,True,False,False,False
amyCerad,0,171,workable,1.6406776756488237,5.119591881611631,1.1296686399278604,0.9407773831819289,1.1828766657748695,2.2632809337846815,0.9440355857540768,-0.6213297631541996,0.9773340558060672,-0.2753748616632624,0.8990509185071736,-1.9845373856031818,1.1996947060409027,3.2311307981371864,0.48086359175662413,1.170860585752489,0.6841636106840383,0.97211414921916,-0.09526675584589711,1.3781421248569965,3.1678903659929767,0.7802565463771157,-1.5029149019126522,1.1405389407425055,1.0890682773341098,0.8799448506314671,-1.3649116690892993,1.236312419738653,2.509356074254709,0.6818181818181818,False,False,False,False,False,False
amyCerad,1,48,p>n (overfit),1.986683458688115,6.451458850603732,1.129166161762758,0.7160679364879727,1.0705970476864488,0.7388371604732082,0.9611344921528778,-0.30574567834959016,1.0109862932698415,0.11078814191588968,0.9194591653097497,-1.2579039561649203,1.1166742049176153,1.4743906602246242,0.4546553808948005,1.7811026849764298,2.046453335039482,0.9094048578335443,-0.2196873875818734,1.2705560693176792,1.0041144244377782,0.9926961438781119,-0.026523715564183377,0.9431969509115121,-0.18174485561406076,1.0922209500766886,0.4931377376249562,1.064035370245659,0.3857979938831881,0.25,False,True,True,True,False,False
amyCerad,2,140,exploratory,2.066736937923824,8.287112517247417,1.2156639787253283,1.3712681512844611,1.0775238235915057,0.9330306506906753,1.2544841745312232,2.2368689423748678,0.9478314031840052,-0.5434395418659718,1.0096765127541825,0.15885417061831902,1.111087246480814,1.6725777919925797,0.45427901524032827,2.543023399777145,6.154945725233725,1.1719166492826183,0.7874875586349366,1.125656781547778,0.9043264581173779,1.1992978794060438,0.9147400250822557,1.0518432221020222,0.3510017846695299,1.1271036411641635,1.2206317722331879,1.061921859247599,0.47407969722026105,0.5263157894736842,False,True,False,False,True,True
