region,depth,n,auroc,null_mean,null_sd,z,p_vs_random_same_size,q_fdr,strong
PMI <= 6.83 (lower half)  AND  ADoutcome = Other,2,69,0.62457,0.61159,0.01371,0.9465,0.16418,0.33394,False
celltype_neuron <= 0.103 (lower half)  AND  ageDeath > 87.7 (high third),2,169,0.6376,0.62836,0.00978,0.94493,0.20896,0.384,False
PMI <= 5.17 (low third)  AND  celltype_oligodendrocyte <= -0.482 (low third),2,87,0.63139,0.61751,0.01471,0.94387,0.18905,0.36006,False
race = White  AND  bScore = Braak Stage III-IV,2,183,0.63851,0.62963,0.00957,0.92752,0.16418,0.33394,False
celltype_neuron <= 0.103 (lower half)  AND  apoeGenotype = 34,2,160,0.63699,0.62746,0.0103,0.92561,0.17413,0.34909,False
Braak = Stage IV,1,164,0.63696,0.62746,0.0103,0.92194,0.1791,0.35219,False
celltype_neuron <= 0.103 (lower half)  AND  ADoutcome = Other,2,86,0.63078,0.61751,0.01471,0.9026,0.21891,0.39197,False
race = White  AND  Braak = Stage IV,2,98,0.63238,0.62031,0.01354,0.891,0.19403,0.36133,False
race = White  AND  celltype_microglia > -0.0479 (upper half),2,236,0.64037,0.6335,0.00778,0.88252,0.1791,0.35219,False
celltype_neuron <= 0.103 (lower half)  AND  PMI > 10 (high third),2,124,0.63257,0.6223,0.01165,0.88172,0.18408,0.35219,False
race = White  AND  apoeGenotype = 33,2,233,0.64098,0.63332,0.00882,0.8691,0.17413,0.34909,False
PMI <= 6.83 (lower half)  AND  celltype_neuron -0.0632-0.277 (middle third),2,165,0.63624,0.62746,0.0103,0.85216,0.19403,0.36133,False
PMI <= 6.83 (lower half)  AND  celltype_astrocyte > 0.236 (high third),2,147,0.63804,0.62824,0.01157,0.84674,0.19403,0.36133,False
race = White  AND  celltype_astrocyte > 0.236 (high third),2,150,0.63802,0.62824,0.01157,0.84505,0.19403,0.36133,False
amyAny = 0,1,167,0.63648,0.62836,0.00978,0.83044,0.22886,0.40122,False
amyCerad = None/No AD/C0,1,167,0.63648,0.62836,0.00978,0.83044,0.22886,0.40122,False
