protein_a,protein_b,n_datasets,prior_C_a_to_b,prior_C_b_to_a,dir_ROSMAP,W_ROSMAP,beta_ROSMAP,dir_Diverse,W_Diverse,beta_Diverse,dir_Banner,W_Banner,beta_Banner,direction_consistent,mean_W
SEC24A,TMED2,2,0.6,0.6,TMED2->SEC24A,0.0704,0.1365,SEC24A->TMED2,0.1539,-0.0027,,0.0,0.0,0,0.07476666666666666
SEC13,SEC24A,2,0.6,0.6,SEC24A->SEC13,0.1034,0.039,SEC24A->SEC13,0.1196,-0.0435,,0.0,0.0,1,0.07433333333333333
PREB,SEC13,2,0.4,0.4,SEC13->PREB,0.0578,0.0159,PREB->SEC13,0.1642,0.0745,,0.0,0.0,0,0.074
MIA3,SEC24B,2,0.4,0.4,MIA3->SEC24B,0.0702,0.1125,MIA3->SEC24B,0.1474,0.0408,,0.0,0.0,1,0.07253333333333334
RAB1A,VDAC1,2,0.4,0.4,RAB1A->VDAC1,0.1001,0.3504,RAB1A->VDAC1,0.1128,0.7598,,0.0,0.0,1,0.07096666666666666
AP2B1,AP4E1,2,0.8,0.8,AP2B1->AP4E1,0.1028,-0.2001,AP2B1->AP4E1,0.106,-0.0925,,0.0,0.0,1,0.0696
GORASP1,TMED2,2,0.4,0.2,GORASP1->TMED2,0.1338,0.152,GORASP1->TMED2,0.0734,0.0131,,0.0,0.0,1,0.06906666666666667
GORASP1,RAB1B,2,0.6,0.6,RAB1B->GORASP1,0.1458,0.7202,GORASP1->RAB1B,0.0581,0.0466,,0.0,0.0,0,0.06796666666666668
GGA2,LRP1,2,0.4,0.4,LRP1->GGA2,0.0796,0.2744,LRP1->GGA2,0.1238,0.4113,,0.0,0.0,1,0.0678
SAR1B,TMED2,2,0.6,0.6,TMED2->SAR1B,0.0929,0.0762,SAR1B->TMED2,0.1096,0.0305,,0.0,0.0,0,0.0675
RAB1B,SEC24C,2,0.6,0.6,,0.0,0.0,RAB1B->SEC24C,0.0589,-0.0304,SEC24C->RAB1B,0.1407,-0.3457,0,0.06653333333333333
RAB1A,TMED2,2,0.6,0.6,,0.0,0.0,TMED2->RAB1A,0.0506,0.0155,RAB1A->TMED2,0.1457,-0.1936,0,0.06543333333333333
GGA2,PICALM,2,0.4,0.4,GGA2->PICALM,0.0542,-0.041,GGA2->PICALM,0.1418,0.0734,,0.0,0.0,1,0.06533333333333334
