source,target,prior_C,W,beta,n_pairwise,p_corr,q_fdr,data_supported
BACE1,LRP1,0.6,0.0,0.0,400,0.5907370446618878,0.72894722114882,0
BACE1,NCSTN,0.6,0.0,0.0,384,0.7694449813158134,0.8493231395586774,0
BACE1,PICALM,0.2,0.0,0.0,400,0.09880215135994815,0.1893908458603457,0
BACE1,RTN3,0.6,0.0,0.0,288,0.3724470085349481,0.537704952719329,0
BACE1,RTN4,0.4,0.0,0.0,328,0.4593639012846954,0.6143639906752367,0
BACE1,ABCA7,0.2,0.0,0.0,280,0.0008999718187712222,0.003725199806812527,0
SEC24D,MIA3,0.6,0.0,0.0,392,0.8507769110778846,0.9076804238905979,0
SEC24D,OSBP,0.2,0.0,0.0,392,0.392342659824739,0.5541945994068668,0
SEC24D,PICALM,0.6,0.0,0.0,392,0.05219903051593304,0.11341583374558208,0
APP,APOE,0.2,0.0,0.0,312,0.3525775367128945,0.5112765166524013,0
APP,BACE1,0.6,0.0,0.0,312,0.2883846493111985,0.4427313630270512,0
APP,GGA1,0.6,0.0,0.0,312,0.4689204231810037,0.6233210503259683,0
APP,GGA3,0.6,0.0,0.0,312,0.9360859687137267,0.9625789678282662,0
APP,HSPA5,0.6,0.0,0.0,312,0.2949650966508488,0.44758044828226246,0
SEC16A,SEC24D,0.8,0.0,0.0,392,0.1823898056685108,0.3114412157458496,0
SEC23B,SEC24B,1.0,0.0,0.0,400,0.6949689921891554,0.8058682994533825,0
BACE1,ADAM17,0.4,0.0,0.0,368,0.02847295664580986,0.06870839212133753,0
BACE1,APBA1,0.2,0.0,0.0,400,0.022942729208245617,0.05793260579997156,0
BACE1,APBA2,0.2,0.0,0.0,400,0.7123223841440821,0.8137426506970056,0
SEC24B,PREB,0.6,0.0,0.0,400,0.21256683659614883,0.34931710098480984,0
SEC24B,COPB2,0.2,0.0,0.0,400,0.14889210112808168,0.26389006541399845,0
SEC24B,COPE,0.2,0.0,0.0,400,0.8240043361971484,0.8917266501254865,0
SEC24B,COPZ1,0.2,0.0,0.0,400,0.3823335382785599,0.5447628192465755,0
SEC23B,MIA3,0.8,0.0,0.0,400,0.010533632494602646,0.030347998464626127,0
SEC23B,PREB,0.2,0.0,0.0,400,0.11746819756513996,0.21763229803853126,0
BACE1,EIF2S1,0.4,0.0,0.0,400,1.7853153393249043e-09,2.382849452894872e-08,0
SEC23B,SEC23A,0.4,0.0,0.0,400,0.671388785610505,0.7888196764157235,0
SEC23B,SEC24A,1.0,0.0,0.0,400,0.0028434805757812714,0.0098916824285157,0
ARF6,COPB1,0.4,0.0,0.0,400,9.90483461914074e-05,0.0005100599874738617,0
ARF6,SIGMAR1,0.2,0.0,0.0,216,0.058300793241997106,0.12379454149437047,0
ARF6,VPS26A,0.2,0.0,0.0,400,0.11851099036120592,0.218944033040194,0
SEC23B,SEC24C,1.0,0.0,0.0,400,0.7602476388888351,0.8441672843276393,0
SEC23B,SEC24D,1.0,0.0,0.0,392,0.5845516918094793,0.7254140072451669,0
BACE1,ARF6,0.4,0.0,0.0,400,0.0006808345151082056,0.0028913361875374448,0
BACE1,BIN1,0.4,0.0,0.0,400,0.7611362257229793,0.8441672843276393,0
BACE1,ECE1,0.2,0.0,0.0,384,0.0064257000065068145,0.020011465734549795,0
SEC23B,RAB1B,0.4,0.0,0.0,400,0.0745526886577062,0.15002294886812262,0
TMED9,TMED2,0.8,0.0,0.0,400,0.0007861705924686217,0.0032958690222722985,0
ITPR2,VDAC1,0.4,0.0,0.0,400,0.9330091158679912,0.9621259780848811,0
LRP1,ADAM10,0.2,0.0,0.0,400,0.6968707567222878,0.8066433184006659,0
LRP1,CLU,0.2,0.0,0.0,400,0.05712512741665205,0.12249125682128012,0
VPS26A,SNX4,0.6,0.0,0.0,400,0.3983885028046226,0.5588946547650655,0
VDAC1,HSPA5,0.2,0.0,0.0,400,2.584561644581707e-07,2.2537377540752488e-06,0
VDAC1,HSPA9,0.8,0.0,0.0,400,0.005165920423013557,0.0167253067160934,0
VDAC1,ITPR1,0.8,0.0,0.0,400,0.7179411291557212,0.8165799973353768,0
VDAC1,MFN2,0.2,0.0,0.0,400,0.021227214006268046,0.054412937129141824,0
SEC31A,COPE,0.2,0.0,0.0,400,0.001413028714406459,0.005566992645914604,0
TMED9,NCSTN,0.4,0.0,0.0,384,0.0022498894284807675,0.008174598256813456,0
TMED9,PREB,0.2,0.0,0.0,400,2.9612943880043895e-05,0.00017767766328026337,0
TMED9,PSEN1,0.6,0.0,0.0,400,0.05136306327172848,0.1129756783897559,0
AP2A1,AP3B2,0.6,0.0,0.0,240,0.8264611349229198,0.8919234030356263,0
AP2A1,AP4B1,0.8,0.0,0.0,232,0.606349846007945,0.7426082383692809,0
AP2A1,AP4E1,0.8,0.0,0.0,336,0.7459994645734281,0.8391320365183107,0
AP2A1,AP4M1,0.8,0.0,0.0,232,0.08817994555164854,0.1721483116142631,0
AP2A1,AP4S1,0.8,0.0,0.0,344,0.5895009375883512,0.728797000345523,0
AP2A1,ARF6,0.6,0.0,0.0,400,0.007408837225599889,0.02253664904903408,0
TMED9,EIF2S1,0.4,0.0,0.0,400,9.374667728438481e-07,7.298848445712817e-06,0
