source,target,prior_C,W,beta,n_pairwise,p_corr,q_fdr,data_supported
SEC16A,COPB1,0.2,0.0,0.0,676,1.6482038322592691e-21,1.1228388607266271e-20,0
SEC16A,PICALM,0.2,0.0,0.0,676,5.9890344761842226e-18,3.1844134531906355e-17,0
SEC16A,PREB,0.6,0.0,0.0,676,7.400141172513478e-22,5.148608858323207e-21,0
SAR1B,SEC24C,0.6,0.0,0.0,676,0.18783731718724667,0.23354677840391505,0
COPE,RAB1B,0.6,0.0,0.0,676,0.3365666655638898,0.38481573300486704,0
COPE,SEC13,0.2,0.0,0.0,676,5.679125302029554e-16,2.5439369503611837e-15,0
COPB2,SEC31A,0.2,0.0,0.0,676,6.477901891617977e-26,6.323205727042026e-25,0
COPE,COPB1,1.0,0.0,0.0,676,7.882498278919474e-44,1.7183846248044453e-42,0
COPE,COPB2,1.0,0.0,0.0,676,1.7421118657110264e-45,4.2197820747222644e-44,0
COPZ1,AP4E1,0.2,0.0,0.0,675,0.7994568419927961,0.8223826903252084,0
COPZ1,COPA,1.0,0.0,0.0,676,2.3726250283247482e-27,2.6299945229226866e-26,0
COPZ1,COPB2,1.0,0.0,0.0,676,1.5322692012198062e-50,4.3569741634684925e-49,0
COPG2,COPE,1.0,0.0,0.0,676,1.242166237899819e-05,2.7631861210424545e-05,0
COPG2,RAB1B,0.6,0.0,0.0,676,0.015489405884531914,0.02297068355665277,0
COPG2,SAR1A,0.4,0.0,0.0,676,0.000766509687772606,0.0013723326989423137,0
COPG2,SEC13,0.2,0.0,0.0,676,3.1345995540728477e-09,9.403798662218543e-09,0
COPG2,SEC23B,0.2,0.0,0.0,676,1.0734433878094811e-06,2.6693231012448694e-06,0
COPG2,TMED10,0.6,0.0,0.0,676,0.0031964247794924283,0.005275591019546136,0
COPG2,TMED2,0.6,0.0,0.0,676,0.0002890107093458212,0.0005400371540347631,0
COPG2,TMED9,0.6,0.0,0.0,676,0.0032024612152290765,0.005275591019546136,0
COPG2,COPA,1.0,0.0,0.0,676,7.506950483929729e-27,7.918621962080714e-26,0
COPG2,COPB1,1.0,0.0,0.0,676,1.8435318654337608e-26,1.8838591249901244e-25,0
COPG2,COPB2,1.0,0.0,0.0,676,2.3282320502585064e-14,9.760665133776046e-14,0
COPZ1,COPG1,1.0,0.0,0.0,676,1.98591646549791e-12,7.097209663582694e-12,0
COPB2,SEC16A,0.2,0.0,0.0,676,2.7483876996567676e-09,8.360211886397795e-09,0
COPB2,SEC23A,0.2,0.0,0.0,676,1.3226201665247364e-09,4.099495682024538e-09,0
COPB2,PREB,0.2,0.0,0.0,676,1.7691027662766976e-11,6.089437942868212e-11,0
COPB2,RTN4,0.4,0.0,0.0,676,7.573332174373388e-05,0.00015239874590892912,0
COPB2,SAR1B,0.2,0.0,0.0,676,1.3474851328196341e-14,5.685517915251876e-14,0
COPB2,COPB1,1.0,0.0,0.0,676,1.0196401493099074e-78,5.557038813738995e-77,0
SEC13,SEC31A,1.0,0.0,0.0,676,8.1416848502330045e-81,4.840601720047623e-79,0
SEC13,PICALM,0.2,0.0,0.0,676,8.440588894996592e-29,1.003662752241413e-27,0
