source,target,prior_C,W,beta,n_pairwise,p_corr,q_fdr,data_supported
RTN3,COPB2,0.4,0.0,0.0,676,0.1212659152047685,0.15340020994955242,0
RAB1B,SEC23B,0.4,0.0,0.0,676,0.08612431546904803,0.11175655221578851,0
RAB1B,COPZ1,0.6,0.0,0.0,676,0.001957510663171187,0.003342590009697014,0
RAB1B,GORASP1,0.6,0.0,0.0,533,0.02528259598164755,0.03618122050765316,0
RTN3,RTN4,0.8,0.0,0.0,676,6.570402365497277e-28,7.538672187781086e-27,0
HSPA5,EIF2S1,0.6,0.0,0.0,676,1.7837207327817376e-35,2.916383398098141e-34,0
HSPA5,LRP1,0.6,0.0,0.0,676,0.21696951854783936,0.26375105042804264,0
HSPA5,APOE,0.4,0.0,0.0,676,0.8452455076059562,0.8623877721907883,0
HSPA5,APP,0.6,0.0,0.0,676,0.036542750253814496,0.051285319025739656,0
GORASP1,SEC23A,0.6,0.0,0.0,533,0.00013682811812760324,0.00026872549325961717,0
GORASP1,SEC24A,0.6,0.0,0.0,533,0.05407152920294275,0.07321486562882933,0
GORASP1,SEC24C,0.6,0.0,0.0,533,0.002819706432265486,0.004728430786414431,0
ECE1,PSEN1,0.2,0.0,0.0,676,0.1814846536759753,0.2273773247204748,0
COPZ1,RTN3,0.4,0.0,0.0,676,0.007590451827320267,0.01193306609391215,0
GGA2,SEC23B,0.4,0.0,0.0,676,1.561976080465383e-05,3.439502884257106e-05,0
COPZ1,SEC24B,0.2,0.0,0.0,676,6.99173833414944e-10,2.1878453925998725e-09,0
GGA3,SORL1,0.2,0.0,0.0,676,0.08073530344288643,0.10560177690329545,0
GORASP1,ABCA7,0.2,0.0,0.0,517,0.04617647132063392,0.06371184017657085,0
GORASP1,ADAM17,0.4,0.0,0.0,533,0.11237239289142154,0.1435381737324017,0
GORASP1,COPA,0.6,0.0,0.0,533,0.055111509035623306,0.07446885725061496,0
GORASP1,COPB2,0.6,0.0,0.0,533,0.854540353580239,0.8687527705073437,0
GORASP1,GGA2,0.2,0.0,0.0,533,3.462935516771938e-07,9.059039311875391e-07,0
GGA3,GORASP1,0.2,0.0,0.0,533,0.8271831165681351,0.8466005606190303,0
GGA3,RTN3,0.2,0.0,0.0,676,2.5513940863949896e-14,1.0604390541787313e-13,0
GGA3,RTN4,0.2,0.0,0.0,676,0.06140429005885847,0.08178901364255282,0
COPZ1,SEC13,0.2,0.0,0.0,676,2.8528620162279563e-15,1.2521958111497204e-14,0
GGA1,SORT1,0.8,0.0,0.0,676,0.04438023534329882,0.06149295320872336,0
GGA2,AP1G1,0.6,0.0,0.0,676,3.11731858819998e-07,8.253952861063915e-07,0
GGA2,AP2B1,0.4,0.0,0.0,676,1.3505872333211484e-09,4.166434200905807e-09,0
