region,depth,n_listed,n_usable,auroc,null_usable,z_fixed,p_fixed,z_orig,q_orig,q_fixed,strong_fixed
sex = female  AND  lastMMSE <= 25 (lower half),2,40,39,,0.56628,,,0.13848,0.67112,,False
celltype_microglia > 0.00693 (upper half)  AND  celltype_endothelial <= -0.0477 (lower half),2,42,42,0.56623,0.56628,-0.00367,0.53731,0.09956,0.67112,0.75857,False
sex = female  AND  celltype_neuron <= -1.75e-05 (lower half),2,43,43,0.56618,0.56628,-0.00685,0.54229,0.09647,0.67112,0.75857,False
apoeGenotype = e3-3  AND  lastMMSE 18-28 (middle third),2,41,41,0.56603,0.56628,-0.01837,0.54726,0.08525,0.67112,0.75857,False
TangleTotal <= 8 (lower half),1,98,98,0.57558,0.57602,-0.04785,0.55224,0.07143,0.71741,0.75857,False
sex = female  AND  celltype_endothelial > -0.0477 (upper half),2,50,50,0.56852,0.56943,-0.07639,0.51741,0.0688,0.71333,0.75205,False
celltype_oligodendrocyte > -0.129 (upper half),1,95,94,0.57555,0.57456,0.10825,0.45274,0.06817,0.71741,0.69867,False
celltype_microglia > 0.00693 (upper half)  AND  lastMMSE <= 18 (low third),2,42,42,0.56516,0.56628,-0.08105,0.56219,0.02424,0.69247,0.76384,False
celltype_oligodendrocyte -0.462-0.276 (middle third),1,63,63,0.56829,0.56789,0.03333,0.48756,-0.04471,0.71741,0.73895,False
celltype_microglia > 0.00693 (upper half)  AND  diagnosis = Alzheimer Disease,2,50,50,0.5668,0.56943,-0.21984,0.58209,-0.06641,0.73471,0.77406,False
apoeGenotype = e3-3  AND  lastMMSE > 25 (upper half),2,56,56,0.56788,0.56789,-0.00133,0.50249,-0.0842,0.72331,0.73895,False
TangleTotal > 8 (upper half),1,92,91,0.57424,0.57456,-0.03454,0.50249,-0.08761,0.72907,0.73895,False
ageDeath <= 86 (lower half),1,104,104,0.5741,0.57602,-0.20855,0.62189,-0.10808,0.74139,0.77582,False
celltype_endothelial > -0.0477 (upper half),1,95,95,0.57382,0.57602,-0.2384,0.62687,-0.14142,0.74139,0.77582,False
celltype_neuron <= -1.75e-05 (lower half),1,95,95,0.57376,0.57602,-0.24484,0.62687,-0.14862,0.74139,0.77582,False
diagnosis = Alzheimer Disease,1,90,89,0.57341,0.57456,-0.12418,0.52736,-0.1885,0.74139,0.75771,False
apoeGenotype = e3-3  AND  sex = male,2,53,53,0.56499,0.56943,-0.37185,0.65672,-0.20969,0.74139,0.7915,False
diagnosis = control,1,100,100,0.57308,0.57602,-0.31868,0.63682,-0.2311,0.74139,0.78041,False
celltype_neuron <= -0.147 (low third),1,64,64,0.56631,0.56789,-0.13343,0.57214,-0.23465,0.74139,0.769,False
celltype_microglia > 0.00693 (upper half)  AND  celltype_astrocyte > 0.00686 (upper half),2,48,48,0.56447,0.56943,-0.4155,0.67164,-0.25084,0.74139,0.7915,False
celltype_endothelial <= -0.261 (low third),1,64,63,0.56613,0.56789,-0.14831,0.59204,-0.2516,0.74139,0.77582,False
celltype_microglia -0.272-0.252 (middle third),1,63,63,0.5659,0.56789,-0.1676,0.59701,-0.27357,0.74139,0.77582,False
apoeGenotype = e3-3  AND  celltype_neuron > -1.75e-05 (upper half),2,51,51,0.56406,0.56943,-0.44912,0.68159,-0.28253,0.75224,0.7915,False
TangleTotal <= 6 (low third),1,64,64,0.56503,0.56789,-0.24129,0.62687,-0.3575,0.74139,0.77582,False
celltype_endothelial <= -0.0477 (lower half),1,95,94,0.57187,0.57456,-0.29172,0.61194,-0.37748,0.75697,0.77582,False
PlaqueTotal <= 12.1 (lower half),1,95,95,0.57165,0.57602,-0.47282,0.68159,-0.40329,0.76036,0.7915,False
sex = female  AND  celltype_microglia <= 0.00693 (lower half),2,43,42,0.55808,0.56628,-0.59564,0.75622,-0.47661,0.76036,0.84138,False
ageDeath 82-88 (middle third),1,54,54,0.55963,0.56943,-0.82013,0.79104,-0.63224,0.80194,0.84138,False
pmi > 3.25 (high third),1,59,59,0.56187,0.56789,-0.50681,0.68159,-0.65992,0.8231,0.7915,False
apoeGenotype = e3-3  AND  celltype_microglia <= 0.00693 (lower half),2,48,48,0.55899,0.56943,-0.87413,0.801,-0.68314,0.80194,0.84138,False
apoeGenotype = e3-4,1,62,62,0.56163,0.56789,-0.52724,0.68657,-0.68319,0.8231,0.7915,False
Braak = 5,1,48,47,0.55892,0.56943,-0.87975,0.801,-0.68844,0.80194,0.84138,False
celltype_microglia > 0.00693 (upper half)  AND  TangleTotal > 11.8 (high third),2,41,41,0.55482,0.56628,-0.8322,0.81592,-0.70685,0.8231,0.84992,False
celltype_astrocyte -0.218-0.213 (middle third),1,63,63,0.56114,0.56789,-0.56893,0.69652,-0.73067,0.83222,0.7915,False
sex = male,1,109,109,0.57131,0.57631,-0.65874,0.76617,-0.7428,0.81157,0.84138,False
pmi > 3 (upper half),1,73,73,0.56235,0.57023,-0.75721,0.75124,-0.86754,0.84118,0.84138,False
apoeGenotype = e3-3  AND  PlaqueTotal <= 8 (low third),2,40,40,0.55236,0.56628,-1.01107,0.86567,-0.88094,0.84467,0.88986,False
celltype_astrocyte > 0.00686 (upper half),1,95,94,0.56768,0.57456,-0.74524,0.78109,-0.88281,0.86716,0.84138,False
lastMMSE 18-28 (middle third),1,75,74,0.56427,0.57023,-0.57292,0.69154,-0.93425,0.84811,0.7915,False
celltype_oligodendrocyte <= -0.462 (low third),1,64,64,0.55851,0.56789,-0.79014,0.78607,-0.98263,0.87554,0.84138,False
TangleTotal > 11.8 (high third),1,63,63,0.55782,0.56789,-0.84879,0.79104,-1.04943,0.88892,0.84138,False
lastMMSE > 25 (upper half),1,91,91,0.56482,0.57456,-1.05566,0.87065,-1.23675,0.90717,0.88986,False
celltype_microglia <= 0.00693 (lower half),1,95,94,0.56423,0.57456,-1.12015,0.89552,-1.30055,0.91272,0.90274,False
PlaqueTotal <= 8 (low third),1,66,66,0.55763,0.57023,-1.21022,0.87562,-1.3429,0.91272,0.88986,False
celltype_endothelial -0.261-0.125 (middle third),1,63,63,0.54695,0.56789,-1.76377,0.95522,-2.09156,0.98507,0.95522,False
