region,depth,n_listed,n_usable,auroc,null_usable,z_fixed,p_fixed,z_orig,q_orig,q_fixed,strong_fixed
celltype_microglia > -0.077 (upper half),1,200,200,0.62112,0.61347,1.03794,0.12935,1.07011,0.42602,0.37094,False
celltype_neuron > 0.194 (high third)  AND  celltype_microglia -0.284-0.197 (middle third),2,43,43,0.59572,0.57807,1.15774,0.12935,1.05395,0.43677,0.37094,False
celltype_neuron > 0.0321 (upper half)  AND  age_death <= 86.8 (low third),2,80,80,0.60993,0.59397,1.27748,0.11443,1.04801,0.3964,0.35878,False
age_death > 89.4 (upper half),1,200,200,0.62091,0.61347,1.01003,0.13433,1.04409,0.42602,0.37094,False
cts_mmse30_lv <= 26 (lower half)  AND  braaksc 3-4 (middle third),2,71,71,0.60441,0.59122,1.02978,0.15423,1.03955,0.39934,0.39341,False
celltype_astrocyte > 0.235 (high third)  AND  celltype_microglia <= -0.077 (lower half),2,61,61,0.60342,0.58775,1.11652,0.14428,1.0007,0.41598,0.39066,False
celltype_neuron > 0.0321 (upper half)  AND  age_death 86.8-90 (middle third),2,120,120,0.61505,0.60325,1.11033,0.14925,0.99818,0.42786,0.39066,False
celltype_neuron > 0.0321 (upper half)  AND  pmi > 7.61 (high third),2,67,67,0.60372,0.59122,0.97613,0.1592,0.98685,0.39934,0.39934,False
celltype_astrocyte > 0.235 (high third)  AND  cts_mmse30_lv 23-28 (middle third),2,62,62,0.6032,0.58775,1.10111,0.14925,0.98561,0.42203,0.39066,False
cts_mmse30_lv <= 26 (lower half)  AND  pmi > 7.61 (high third),2,67,67,0.60343,0.59122,0.95342,0.16915,0.96454,0.39934,0.41395,False
celltype_neuron > 0.194 (high third)  AND  educ 14-18 (middle third),2,65,65,0.60286,0.58775,1.0768,0.14925,0.96181,0.42602,0.39066,False
cts_mmse30_lv 23-28 (middle third),1,174,174,0.61961,0.60942,1.24038,0.12438,0.95625,0.42602,0.36704,False
celltype_astrocyte > 0.235 (high third)  AND  age_death 86.8-90 (middle third),2,92,92,0.6074,0.59797,0.85896,0.21393,0.95441,0.4383,0.47403,False
celltype_neuron > 0.0321 (upper half)  AND  celltype_microglia <= -0.284 (low third),2,88,88,0.60733,0.59797,0.8524,0.21393,0.94842,0.4383,0.47403,False
cts_mmse30_lv <= 26 (lower half)  AND  celltype_endothelial <= -0.043 (lower half),2,107,107,0.6128,0.60192,0.98626,0.1592,0.94603,0.42786,0.39934,False
celltype_astrocyte > 0.235 (high third)  AND  celltype_microglia <= -0.284 (low third),2,41,41,0.59384,0.57807,1.03455,0.14925,0.93296,0.45163,0.39066,False
celltype_neuron > 0.194 (high third)  AND  Study = ROS,2,52,52,0.5989,0.58189,1.13237,0.12438,0.93126,0.42786,0.36704,False
celltype_neuron > 0.0321 (upper half)  AND  Study = ROS,2,74,74,0.6028,0.59122,0.90455,0.199,0.91653,0.42203,0.46077,False
cts_mmse30_lv <= 26 (lower half)  AND  celltype_endothelial > -0.043 (upper half),2,103,103,0.60894,0.60014,0.76259,0.22388,0.90956,0.4548,0.47456,False
celltype_neuron > 0.194 (high third)  AND  celltype_endothelial <= -0.263 (low third),2,65,65,0.60207,0.58775,1.02042,0.18408,0.9066,0.4548,0.43287,False
cts_mmse30_lv <= 26 (lower half)  AND  apoe_genotype = 33,2,142,142,0.6165,0.60661,0.99641,0.15423,0.90281,0.4383,0.39341,False
celltype_astrocyte > 0.235 (high third)  AND  celltype_microglia > -0.077 (upper half),2,72,72,0.60257,0.59122,0.88621,0.20398,0.89851,0.42602,0.46164,False
celltype_neuron > 0.194 (high third)  AND  apoe_genotype = 33,2,89,89,0.60665,0.59797,0.79113,0.21891,0.89244,0.4548,0.47403,False
celltype_oligodendrocyte -0.371-0.164 (middle third),1,133,133,0.61539,0.60576,0.89599,0.1791,0.86866,0.44326,0.42786,False
celltype_neuron > 0.0321 (upper half)  AND  age_at_visit_max > 88.9 (upper half),2,93,93,0.60635,0.59797,0.76323,0.21891,0.86694,0.4548,0.47403,False
age_death 86.8-90 (middle third),1,266,266,0.62316,0.61819,0.84971,0.20398,0.86022,0.42602,0.46164,False
celltype_oligodendrocyte <= -0.127 (lower half),1,200,200,0.61945,0.61347,0.81185,0.18408,0.85936,0.49188,0.43287,False
celltype_astrocyte > 0.235 (high third)  AND  age_at_visit_max 85.7-90 (middle third),2,90,90,0.60596,0.59797,0.7277,0.21891,0.83447,0.48449,0.47403,False
celltype_neuron > 0.194 (high third)  AND  ceradsc = 2,2,44,44,0.592,0.57807,0.91372,0.17413,0.8143,0.4548,0.4193,False
celltype_astrocyte > 0.235 (high third)  AND  cogdx = 1,2,51,51,0.59707,0.58189,1.01047,0.13433,0.81404,0.4548,0.37094,False
celltype_neuron > 0.194 (high third)  AND  educ <= 14 (low third),2,50,50,0.59705,0.58189,1.00951,0.13433,0.81312,0.4548,0.37094,False
