source,target,prior_C,W,beta,n_pairwise,p_corr,q_fdr,data_supported
AP2B1,AP3B2,0.6,0.0,0.0,189,3.149449288118383e-22,6.865799448098075e-20,0
AP2B1,AP4B1,0.8,0.0,0.0,122,0.3670437679160938,0.594174812418627,0
OSBP,SEC24D,0.4,0.0,0.0,189,0.0016863926644516644,0.011029008025513884,0
TMED9,COPB2,1.0,0.0,0.0,189,1.244296496474338e-06,2.199378131605992e-05,0
TMED9,COPE,1.0,0.0,0.0,189,0.00014955613708898647,0.0014383781420028994,0
TMED9,COPG1,1.0,0.0,0.0,189,4.743480385553084e-06,7.214502725934224e-05,0
AP1G1,AP4B1,0.6,0.0,0.0,122,0.13930323299177932,0.3253725513450846,0
AP1G1,GGA2,0.6,0.0,0.0,189,0.8984934969939751,0.9486293615951551,0
AP1G1,SORL1,0.6,0.0,0.0,189,0.8162874174169213,0.9075520943239357,0
AP2A1,AP1G1,0.6,0.0,0.0,189,6.665891787454012e-11,3.353456329996095e-09,0
AP2A1,AP2B1,1.0,0.0,0.0,189,2.4503186603122175e-52,1.6025084038441903e-49,0
AP2A1,AP3B2,0.6,0.0,0.0,189,7.719129284856439e-23,2.5241552761480556e-20,0
TMED9,COPB1,1.0,0.0,0.0,189,6.616938912327889e-06,9.616617885916533e-05,0
VLDLR,APP,0.4,0.0,0.0,189,0.4720387103022025,0.6829940631363726,0
VLDLR,BIN1,0.6,0.0,0.0,189,0.9671608114017621,0.9852385835774959,0
VLDLR,GGA2,0.4,0.0,0.0,189,0.3104420271076609,0.5373686338333695,0
VLDLR,PLG,0.2,0.0,0.0,189,0.3703911190082043,0.5966398813580434,0
VLDLR,SORL1,0.2,0.0,0.0,189,0.7684263369525355,0.8732283878555427,0
VPS26A,ARF6,0.2,0.0,0.0,189,0.011236357100672549,0.05103178849888783,0
VPS26A,BACE1,0.6,0.0,0.0,181,0.006396753636112621,0.032430053317966306,0
VPS26A,BIN1,0.2,0.0,0.0,189,0.2545848815462573,0.47844400152658706,0
VPS26A,SNX6,0.4,0.0,0.0,189,0.06604042772879544,0.18860454032590487,0
ADAM10,ADAM17,0.4,0.0,0.0,189,0.19091120621109525,0.4107102923093957,0
VPS29,APP,0.2,0.0,0.0,189,8.567802067463968e-05,0.0009037649277615218,0
