step,variable,adjusted_for,auroc,null_mean,gain_vs_current,z_vs_shuffled,n_subjects,kind
4,race,celltype_oligodendrocyte + reag + proteomePC2 + race,0.63439,0.63428,-0.00016,0.21,673,clinical/pathology
4,isHispanic,celltype_oligodendrocyte + reag + proteomePC2 + isHispanic,0.63453,0.63435,-3e-05,0.74,675,clinical/pathology
4,ageDeath,celltype_oligodendrocyte + reag + proteomePC2 + ageDeath,0.63427,0.63463,-0.00028,-1.61,676,clinical/pathology
4,PMI,celltype_oligodendrocyte + reag + proteomePC2 + PMI,0.63524,0.63549,0.00068,-0.86,662,technical
4,apoeGenotype,celltype_oligodendrocyte + reag + proteomePC2 + apoeGenotype,0.63468,0.63458,0.00012,0.32,607,clinical/pathology
4,amyThal,celltype_oligodendrocyte + reag + proteomePC2 + amyThal,0.63051,0.63131,-0.00404,-0.46,200,clinical/pathology
4,amyA,celltype_oligodendrocyte + reag + proteomePC2 + amyA,0.63013,0.6296,-0.00443,0.53,207,clinical/pathology
4,amyCerad,celltype_oligodendrocyte + reag + proteomePC2 + amyCerad,0.63573,0.63458,0.00117,2.34,676,clinical/pathology
4,Braak,celltype_oligodendrocyte + reag + proteomePC2 + Braak,0.63363,0.63237,-0.00093,1.88,641,clinical/pathology
4,mayoDx,celltype_oligodendrocyte + reag + proteomePC2 + mayoDx,,,,,0,clinical/pathology
4,amyAny,celltype_oligodendrocyte + reag + proteomePC2 + amyAny,0.63601,0.63454,0.00145,7.46,676,clinical/pathology
4,bScore,celltype_oligodendrocyte + reag + proteomePC2 + bScore,0.63355,0.63267,-0.00101,2.59,641,clinical/pathology
4,ADoutcome,celltype_oligodendrocyte + reag + proteomePC2 + ADoutcome,0.63509,0.63469,0.00053,1.64,676,clinical/pathology
4,derivedOutcomeBasedOnMayoDx,celltype_oligodendrocyte + reag + proteomePC2 + derivedOutcomeBasedOnMayoDx,0.63456,0.6346,0.0,-0.22,676,clinical/pathology
4,celltype_neuron,celltype_oligodendrocyte + reag + proteomePC2 + celltype_neuron,0.63205,0.63457,-0.00251,-14.21,676,proteome-derived
4,celltype_astrocyte,celltype_oligodendrocyte + reag + proteomePC2 + celltype_astrocyte,0.63533,0.63471,0.00077,2.98,676,proteome-derived
4,celltype_microglia,celltype_oligodendrocyte + reag + proteomePC2 + celltype_microglia,0.63221,0.63468,-0.00235,-15.71,676,proteome-derived
4,celltype_endothelial,celltype_oligodendrocyte + reag + proteomePC2 + celltype_endothelial,0.63461,0.63455,5e-05,0.3,676,proteome-derived
4,proteomePC1,celltype_oligodendrocyte + reag + proteomePC2 + proteomePC1,0.62712,0.63468,-0.00744,-38.53,676,proteome-derived
4,proteomePC3,celltype_oligodendrocyte + reag + proteomePC2 + proteomePC3,0.62637,0.63451,-0.00819,-27.86,676,proteome-derived
4,proteomePC4,celltype_oligodendrocyte + reag + proteomePC2 + proteomePC4,0.62767,0.63466,-0.00689,-48.84,676,proteome-derived
4,proteomePC5,celltype_oligodendrocyte + reag + proteomePC2 + proteomePC5,0.62807,0.63445,-0.00648,-30.63,676,proteome-derived
4,proteomePC6,celltype_oligodendrocyte + reag + proteomePC2 + proteomePC6,0.63914,0.63446,0.00459,14.77,676,proteome-derived
4,proteomePC7,celltype_oligodendrocyte + reag + proteomePC2 + proteomePC7,0.63348,0.6347,-0.00107,-5.41,676,proteome-derived
4,proteomePC8,celltype_oligodendrocyte + reag + proteomePC2 + proteomePC8,0.63984,0.63461,0.00528,37.66,676,proteome-derived
4,proteomePC9,celltype_oligodendrocyte + reag + proteomePC2 + proteomePC9,0.63562,0.63469,0.00106,6.52,676,proteome-derived
4,proteomePC10,celltype_oligodendrocyte + reag + proteomePC2 + proteomePC10,0.63827,0.63455,0.00371,14.57,676,proteome-derived
5,dataContributionGroup,celltype_oligodendrocyte + reag + proteomePC2 + proteomePC8 + dataContributionGroup,0.64188,0.63977,0.00204,7.09,676,technical
5,cohort,celltype_oligodendrocyte + reag + proteomePC2 + proteomePC8 + cohort,0.6428,0.63956,0.00296,3.65,676,technical
5,sex,celltype_oligodendrocyte + reag + proteomePC2 + proteomePC8 + sex,0.64003,0.63986,0.00019,1.02,676,clinical/pathology
5,race,celltype_oligodendrocyte + reag + proteomePC2 + proteomePC8 + race,0.63896,0.6395,-0.00088,-1.06,673,clinical/pathology
5,isHispanic,celltype_oligodendrocyte + reag + proteomePC2 + proteomePC8 + isHispanic,0.63956,0.63953,-0.00027,0.18,675,clinical/pathology
5,ageDeath,celltype_oligodendrocyte + reag + proteomePC2 + proteomePC8 + ageDeath,0.63954,0.63996,-0.0003,-2.3,676,clinical/pathology
5,PMI,celltype_oligodendrocyte + reag + proteomePC2 + proteomePC8 + PMI,0.64142,0.64126,0.00158,1.39,662,technical
5,apoeGenotype,celltype_oligodendrocyte + reag + proteomePC2 + proteomePC8 + apoeGenotype,0.64034,0.64046,0.0005,-0.57,607,clinical/pathology
5,amyThal,celltype_oligodendrocyte + reag + proteomePC2 + proteomePC8 + amyThal,0.63012,0.63117,-0.00971,-0.76,200,clinical/pathology
5,amyA,celltype_oligodendrocyte + reag + proteomePC2 + proteomePC8 + amyA,0.6292,0.62834,-0.01064,0.69,207,clinical/pathology
5,amyCerad,celltype_oligodendrocyte + reag + proteomePC2 + proteomePC8 + amyCerad,0.64145,0.63978,0.00161,2.71,676,clinical/pathology
5,Braak,celltype_oligodendrocyte + reag + proteomePC2 + proteomePC8 + Braak,0.63904,0.6381,-0.0008,1.9,641,clinical/pathology
5,mayoDx,celltype_oligodendrocyte + reag + proteomePC2 + proteomePC8 + mayoDx,,,,,0,clinical/pathology
5,amyAny,celltype_oligodendrocyte + reag + proteomePC2 + proteomePC8 + amyAny,0.64158,0.63982,0.00174,10.28,676,clinical/pathology
5,bScore,celltype_oligodendrocyte + reag + proteomePC2 + proteomePC8 + bScore,0.63943,0.6381,-0.00041,3.95,641,clinical/pathology
5,ADoutcome,celltype_oligodendrocyte + reag + proteomePC2 + proteomePC8 + ADoutcome,0.64007,0.63991,0.00024,0.4,676,clinical/pathology
5,derivedOutcomeBasedOnMayoDx,celltype_oligodendrocyte + reag + proteomePC2 + proteomePC8 + derivedOutcomeBasedOnMayoDx,0.63984,0.63977,0.0,0.34,676,clinical/pathology
5,celltype_neuron,celltype_oligodendrocyte + reag + proteomePC2 + proteomePC8 + celltype_neuron,0.63669,0.63986,-0.00315,-8.92,676,proteome-derived
5,celltype_astrocyte,celltype_oligodendrocyte + reag + proteomePC2 + proteomePC8 + celltype_astrocyte,0.64157,0.63984,0.00173,5.11,676,proteome-derived
5,celltype_microglia,celltype_oligodendrocyte + reag + proteomePC2 + proteomePC8 + celltype_microglia,0.63767,0.63988,-0.00217,-8.6,676,proteome-derived
5,celltype_endothelial,celltype_oligodendrocyte + reag + proteomePC2 + proteomePC8 + celltype_endothelial,0.63901,0.63986,-0.00083,-3.1,676,proteome-derived
5,proteomePC1,celltype_oligodendrocyte + reag + proteomePC2 + proteomePC8 + proteomePC1,0.62877,0.63993,-0.01107,-88.34,676,proteome-derived
5,proteomePC3,celltype_oligodendrocyte + reag + proteomePC2 + proteomePC8 + proteomePC3,0.63583,0.63992,-0.004,-17.22,676,proteome-derived
5,proteomePC4,celltype_oligodendrocyte + reag + proteomePC2 + proteomePC8 + proteomePC4,0.63416,0.63982,-0.00568,-21.43,676,proteome-derived
5,proteomePC5,celltype_oligodendrocyte + reag + proteomePC2 + proteomePC8 + proteomePC5,0.63207,0.63987,-0.00777,-41.66,676,proteome-derived
5,proteomePC6,celltype_oligodendrocyte + reag + proteomePC2 + proteomePC8 + proteomePC6,0.64406,0.63984,0.00422,28.7,676,proteome-derived
5,proteomePC7,celltype_oligodendrocyte + reag + proteomePC2 + proteomePC8 + proteomePC7,0.63802,0.63994,-0.00181,-4.39,676,proteome-derived
5,proteomePC9,celltype_oligodendrocyte + reag + proteomePC2 + proteomePC8 + proteomePC9,0.64077,0.63982,0.00093,2.9,676,proteome-derived
5,proteomePC10,celltype_oligodendrocyte + reag + proteomePC2 + proteomePC8 + proteomePC10,0.64161,0.6398,0.00177,4.74,676,proteome-derived
