region,depth,n,auroc,null_mean,null_sd,z,p_vs_random_same_size,q_fdr,strong
celltype_neuron <= 0.0182 (lower half)  AND  TangleTotal <= 8 (lower half),2,42,0.53841,0.53576,0.01108,0.23904,0.39801,0.67468,False
CERAD = 3  AND  pmi 2.5-3.25 (middle third),2,43,0.53834,0.53576,0.01108,0.2335,0.39801,0.67468,False
TangleTotal > 11.8 (high third),1,63,0.53974,0.53789,0.00872,0.21158,0.43781,0.73271,False
lastMMSE <= 25 (lower half)  AND  pmi > 3 (upper half),2,45,0.53689,0.53576,0.01108,0.10255,0.45771,0.73432,False
celltype_neuron <= 0.0182 (lower half)  AND  diagnosis = control,2,41,0.53674,0.53576,0.01108,0.0884,0.47264,0.73432,False
celltype_neuron <= 0.0182 (lower half)  AND  ageDeath > 86 (upper half),2,40,0.53663,0.53576,0.01108,0.07909,0.48259,0.73432,False
celltype_endothelial <= -0.0629 (lower half),1,51,0.53686,0.53629,0.00985,0.05774,0.44279,0.73271,False
lastMMSE <= 25 (lower half)  AND  TangleTotal > 11.8 (high third),2,61,0.53812,0.53789,0.00872,0.02642,0.47761,0.73432,False
PlaqueTotal > 13.5 (high third),1,55,0.53812,0.53789,0.00872,0.02628,0.47761,0.73432,False
lastMMSE <= 18 (low third),1,67,0.5379,0.53774,0.00761,0.02167,0.45274,0.73432,False
sex = male,1,109,0.54097,0.54092,0.00504,0.01037,0.50249,0.73432,False
ageDeath <= 86 (lower half)  AND  TangleTotal <= 8 (lower half),2,42,0.53573,0.53576,0.01108,-0.0022,0.50746,0.73432,False
ageDeath <= 86 (lower half)  AND  celltype_neuron > 0.0182 (upper half),2,49,0.53562,0.53629,0.00985,-0.06849,0.49751,0.73432,False
apoeGenotype = e3-4,1,62,0.53729,0.53789,0.00872,-0.0688,0.51244,0.73432,False
CERAD = 3  AND  PlaqueTotal > 13.5 (high third),2,50,0.53548,0.53629,0.00985,-0.08301,0.50746,0.73432,False
Braak = 4,1,57,0.53713,0.53789,0.00872,-0.08686,0.51244,0.73432,False
celltype_neuron <= 0.0182 (lower half)  AND  lastMMSE <= 18 (low third),2,44,0.53477,0.53576,0.01108,-0.08932,0.54229,0.75678,False
pmi > 3 (upper half),1,73,0.53675,0.53774,0.00761,-0.12983,0.50746,0.73432,False
lastMMSE <= 25 (lower half)  AND  celltype_astrocyte > 0.251 (high third),2,42,0.53395,0.53576,0.01108,-0.16269,0.56716,0.75678,False
