region,depth,n,auroc,null_mean,null_sd,z,p_vs_random_same_size,q_fdr,strong
age_death > 89.4 (upper half),1,200,0.62091,0.61266,0.0079,1.04409,0.16418,0.42602,False
cts_mmse30_lv <= 26 (lower half)  AND  braaksc 3-4 (middle third),2,71,0.60441,0.59085,0.01304,1.03955,0.1393,0.39934,False
celltype_astrocyte > 0.235 (high third)  AND  celltype_microglia <= -0.077 (lower half),2,61,0.60342,0.58907,0.01434,1.0007,0.14925,0.41598,False
celltype_neuron > 0.0321 (upper half)  AND  age_death 86.8-90 (middle third),2,120,0.61505,0.60413,0.01094,0.99818,0.16915,0.42786,False
celltype_neuron > 0.0321 (upper half)  AND  pmi > 7.61 (high third),2,67,0.60372,0.59085,0.01304,0.98685,0.1393,0.39934,False
celltype_astrocyte > 0.235 (high third)  AND  cts_mmse30_lv 23-28 (middle third),2,62,0.6032,0.58907,0.01434,0.98561,0.15423,0.42203,False
cts_mmse30_lv <= 26 (lower half)  AND  pmi > 7.61 (high third),2,67,0.60343,0.59085,0.01304,0.96454,0.1393,0.39934,False
celltype_neuron > 0.194 (high third)  AND  educ 14-18 (middle third),2,65,0.60286,0.58907,0.01434,0.96181,0.16418,0.42602,False
cts_mmse30_lv 23-28 (middle third),1,174,0.61961,0.61085,0.00916,0.95625,0.16418,0.42602,False
celltype_astrocyte > 0.235 (high third)  AND  age_death 86.8-90 (middle third),2,92,0.6074,0.59593,0.01201,0.95441,0.1791,0.4383,False
celltype_neuron > 0.0321 (upper half)  AND  celltype_microglia <= -0.284 (low third),2,88,0.60733,0.59593,0.01201,0.94842,0.1791,0.4383,False
cts_mmse30_lv <= 26 (lower half)  AND  celltype_endothelial <= -0.043 (lower half),2,107,0.6128,0.60227,0.01113,0.94603,0.16915,0.42786,False
celltype_astrocyte > 0.235 (high third)  AND  celltype_microglia <= -0.284 (low third),2,41,0.59384,0.57936,0.01553,0.93296,0.18905,0.45163,False
celltype_neuron > 0.194 (high third)  AND  Study = ROS,2,52,0.5989,0.58435,0.01562,0.93126,0.16915,0.42786,False
celltype_neuron > 0.0321 (upper half)  AND  Study = ROS,2,74,0.6028,0.59085,0.01304,0.91653,0.15423,0.42203,False
cts_mmse30_lv <= 26 (lower half)  AND  celltype_endothelial > -0.043 (upper half),2,103,0.60894,0.599,0.01092,0.90956,0.19403,0.4548,False
celltype_neuron > 0.194 (high third)  AND  celltype_endothelial <= -0.263 (low third),2,65,0.60207,0.58907,0.01434,0.9066,0.19403,0.4548,False
cts_mmse30_lv <= 26 (lower half)  AND  apoe_genotype = 33,2,142,0.6165,0.60744,0.01004,0.90281,0.1791,0.4383,False
celltype_astrocyte > 0.235 (high third)  AND  celltype_microglia > -0.077 (upper half),2,72,0.60257,0.59085,0.01304,0.89851,0.16418,0.42602,False
celltype_neuron > 0.194 (high third)  AND  apoe_genotype = 33,2,89,0.60665,0.59593,0.01201,0.89244,0.20398,0.4548,False
celltype_oligodendrocyte -0.371-0.164 (middle third),1,133,0.61539,0.60656,0.01017,0.86866,0.18408,0.44326,False
celltype_neuron > 0.0321 (upper half)  AND  age_at_visit_max > 88.9 (upper half),2,93,0.60635,0.59593,0.01201,0.86694,0.20398,0.4548,False
age_death 86.8-90 (middle third),1,266,0.62316,0.61843,0.0055,0.86022,0.16418,0.42602,False
celltype_oligodendrocyte <= -0.127 (lower half),1,200,0.61945,0.61266,0.0079,0.85936,0.22388,0.49188,False
celltype_astrocyte > 0.235 (high third)  AND  age_at_visit_max 85.7-90 (middle third),2,90,0.60596,0.59593,0.01201,0.83447,0.21891,0.48449,False
celltype_neuron > 0.194 (high third)  AND  ceradsc = 2,2,44,0.592,0.57936,0.01553,0.8143,0.20398,0.4548,False
celltype_astrocyte > 0.235 (high third)  AND  cogdx = 1,2,51,0.59707,0.58435,0.01562,0.81404,0.199,0.4548,False
celltype_neuron > 0.194 (high third)  AND  educ <= 14 (low third),2,50,0.59705,0.58435,0.01562,0.81312,0.199,0.4548,False
