region,depth,n_listed,n_usable,auroc,null_usable,z_fixed,p_fixed,z_orig,q_orig,q_fixed,strong_fixed
PMI <= 6.83 (lower half)  AND  ADoutcome = Control,2,88,81,0.63954,0.62296,1.36544,0.07463,1.49762,0.2202,0.27985,False
celltype_neuron <= -0.0632 (low third)  AND  celltype_astrocyte > 0.0206 (upper half),2,174,110,0.643,0.6269,1.47715,0.07463,1.49638,0.23314,0.27985,False
celltype_neuron <= 0.103 (lower half)  AND  celltype_astrocyte <= -0.213 (low third),2,151,89,0.64537,0.62506,1.79983,0.04478,1.48099,0.23314,0.25441,False
celltype_neuron <= -0.0632 (low third)  AND  celltype_endothelial > -0.0425 (upper half),2,180,123,0.64376,0.63033,1.33313,0.10945,1.47633,0.23314,0.34204,False
PMI <= 6.83 (lower half)  AND  bScore = Braak Stage I-II,2,61,50,0.63421,0.61153,1.5616,0.0597,1.47579,0.20698,0.26652,False
celltype_neuron <= 0.103 (lower half)  AND  celltype_microglia <= -0.0479 (lower half),2,165,118,0.64249,0.63033,1.20672,0.13433,1.459,0.19781,0.35726,False
celltype_neuron <= 0.103 (lower half)  AND  ageDeath 79-87.7 (middle third),2,138,93,0.64216,0.62506,1.51506,0.0597,1.44965,0.18951,0.26652,False
PMI <= 5.17 (low third)  AND  celltype_oligodendrocyte > 0.323 (high third),2,92,63,0.63874,0.61572,1.52904,0.06468,1.44372,0.23576,0.26652,False
PMI <= 5.17 (low third)  AND  ADoutcome = Control,2,57,51,0.63368,0.61153,1.52512,0.0597,1.44357,0.23576,0.26652,False
amyA = Thal Phase 3,1,61,41,0.63362,0.60846,1.63321,0.04478,1.43964,0.23576,0.25441,False
amyThal = Phase 3,1,61,41,0.63362,0.60846,1.63321,0.04478,1.43964,0.23576,0.25441,False
celltype_neuron <= -0.0632 (low third)  AND  apoeGenotype = 33,2,129,75,0.64077,0.62296,1.46715,0.06468,1.43524,0.17517,0.26652,False
race = White  AND  apoeGenotype = 34,2,126,110,0.64044,0.6269,1.24265,0.12438,1.40806,0.18199,0.34807,False
celltype_endothelial -0.298-0.239 (middle third),1,321,232,0.64711,0.63772,1.49425,0.0597,1.39636,0.19781,0.26652,False
celltype_neuron <= 0.103 (lower half)  AND  Braak = Stage III,2,66,53,0.63066,0.61153,1.31739,0.08955,1.39117,0.23576,0.30254,False
celltype_neuron <= -0.0632 (low third)  AND  amyAny = 1,2,168,168,0.64193,0.63459,0.83134,0.17413,1.38685,0.26898,0.40812,False
race = White  AND  celltype_astrocyte > 0.0206 (upper half),2,241,216,0.64425,0.63689,1.00528,0.16418,1.38148,0.22845,0.39215,False
PMI <= 5.17 (low third)  AND  celltype_neuron -0.0632-0.277 (middle third),2,111,96,0.63802,0.62688,0.92137,0.18905,1.37337,0.22845,0.41108,False
celltype_microglia <= -0.289 (low third),1,322,224,0.64692,0.63689,1.36984,0.08458,1.3699,0.20698,0.29642,False
PMI <= 5.17 (low third)  AND  ageDeath > 87.7 (high third),2,115,101,0.6382,0.62688,0.93626,0.18905,1.36488,0.23314,0.41108,False
race = White  AND  amyAny = 1,2,312,312,0.64725,0.63998,1.24976,0.10945,1.36484,0.22845,0.34204,False
race = White  AND  celltype_endothelial > 0.239 (high third),2,158,143,0.64148,0.63143,0.98489,0.18905,1.36181,0.23576,0.41108,False
PMI <= 6.83 (lower half)  AND  celltype_oligodendrocyte > 0.323 (high third),2,137,101,0.64115,0.62688,1.18008,0.12438,1.35983,0.22845,0.34807,False
PMI <= 6.83 (lower half)  AND  isHispanic = TRUE,2,68,35,,0.60846,,,1.35914,0.24873,,False
PMI <= 6.83 (lower half)  AND  celltype_oligodendrocyte <= -0.11 (lower half),2,205,183,0.64445,0.6356,1.10842,0.10945,1.34713,0.23576,0.34204,False
PMI <= 5.17 (low third)  AND  celltype_endothelial <= -0.0425 (lower half),2,148,116,0.64343,0.63033,1.30083,0.1194,1.31328,0.23576,0.34807,False
celltype_oligodendrocyte -0.482-0.323 (middle third),1,321,252,0.6464,0.63837,1.27979,0.10448,1.29855,0.23314,0.34204,False
PMI <= 5.17 (low third)  AND  celltype_microglia > -0.0479 (upper half),2,132,107,0.63911,0.6269,1.12001,0.14925,1.29774,0.23314,0.386,False
race = White  AND  PMI 5.17-10 (middle third),2,155,146,0.6408,0.63216,1.07048,0.1393,1.29555,0.25198,0.36531,False
race = White  AND  celltype_oligodendrocyte <= -0.11 (lower half),2,243,221,0.64353,0.63689,0.90691,0.19403,1.28893,0.23576,0.41108,False
race = White  AND  celltype_microglia <= -0.0479 (lower half),2,229,193,0.64469,0.63496,1.18435,0.13433,1.28881,0.23576,0.35726,False
race = White  AND  celltype_endothelial > -0.0425 (upper half),2,236,212,0.64334,0.63708,0.79232,0.22388,1.26477,0.24381,0.44932,False
PMI <= 6.83 (lower half)  AND  celltype_endothelial <= -0.298 (low third),2,128,97,0.63866,0.62688,0.97437,0.1791,1.26117,0.23576,0.40954,False
PMI <= 6.83 (lower half)  AND  amyAny = 1,2,277,277,0.64454,0.63859,1.08784,0.1592,1.25534,0.23576,0.39215,False
celltype_neuron <= 0.103 (lower half)  AND  reag = Intermediate Likelihood,2,116,116,0.63687,0.63033,0.64952,0.25373,1.2509,0.23576,0.47338,False
PMI <= 5.17 (low third)  AND  reag = Low Likelihood,2,57,57,0.63051,0.61572,0.9821,0.15423,1.25064,0.26898,0.38816,False
celltype_neuron <= 0.103 (lower half)  AND  bScore = Braak Stage I-II,2,56,37,,0.60846,,,1.24664,0.26898,,False
PMI <= 6.83 (lower half)  AND  reag = Intermediate Likelihood,2,117,117,0.63681,0.63033,0.64334,0.25871,1.24556,0.23576,0.47791,False
celltype_neuron <= 0.103 (lower half)  AND  celltype_oligodendrocyte -0.482-0.323 (middle third),2,141,118,0.63984,0.63033,0.94436,0.1791,1.24367,0.24873,0.40954,False
PMI <= 5.17 (low third)  AND  Braak = Stage IV,2,49,46,0.62607,0.61153,1.00139,0.1393,1.24083,0.23576,0.36531,False
PMI <= 6.83 (lower half)  AND  ageDeath > 83.6 (upper half),2,249,224,0.64387,0.63689,0.95343,0.1791,1.23966,0.27938,0.40954,False
celltype_neuron <= -0.0632 (low third)  AND  ageDeath > 87.7 (high third),2,97,79,0.63709,0.62296,1.16354,0.1194,1.23856,0.25198,0.34807,False
celltype_neuron <= -0.0632 (low third)  AND  reag = Intermediate Likelihood,2,63,63,0.63012,0.61572,0.95656,0.15423,1.22725,0.26898,0.38816,False
celltype_neuron <= -0.0632 (low third)  AND  celltype_astrocyte <= -0.213 (low third),2,112,60,0.63615,0.61572,1.35672,0.08458,1.22328,0.25198,0.29642,False
race = White  AND  ADoutcome = AD,2,278,235,0.64429,0.63824,0.88705,0.16915,1.22269,0.23576,0.40147,False
amyCerad = Moderate/Probable/C2,1,138,138,0.63958,0.63143,0.79853,0.22886,1.22045,0.25198,0.44932,False
PMI <= 5.17 (low third)  AND  celltype_oligodendrocyte > -0.11 (upper half),2,134,99,0.63797,0.62688,0.91749,0.18905,1.2044,0.24381,0.41108,False
PMI <= 5.17 (low third)  AND  sex = male,2,114,84,0.63584,0.62296,1.06131,0.16418,1.19891,0.25198,0.39215,False
PMI <= 5.17 (low third)  AND  celltype_neuron > 0.103 (upper half),2,131,103,0.63788,0.62688,0.91004,0.19403,1.19697,0.24873,0.41108,False
PMI <= 5.17 (low third)  AND  celltype_endothelial > -0.0425 (upper half),2,126,104,0.63781,0.62688,0.90421,0.19403,1.19115,0.24873,0.41108,False
celltype_neuron <= -0.0632 (low third)  AND  PMI > 6.83 (upper half),2,133,86,0.63773,0.62506,1.12274,0.12935,1.18437,0.24873,0.3515,False
celltype_neuron <= 0.103 (lower half)  AND  amyAny = 1,2,281,281,0.64395,0.63859,0.97878,0.1791,1.17886,0.24381,0.40954,False
celltype_neuron <= 0.103 (lower half)  AND  celltype_microglia > -0.0479 (upper half),2,317,214,0.64544,0.63708,1.05746,0.14428,1.16513,0.25198,0.37573,False
