source,target,prior_C,W,beta,n_pairwise,p_corr,q_fdr,data_supported
APP,PSEN1,0.3,0.0,0.0,190,0.39245206717405473,0.5844307840167742,0
APP,LRP1,0.4,0.0,0.0,190,4.2202190003923695e-20,7.258776680674875e-18,0
APP,IDE,0.2,0.0,0.0,190,0.5283274683310553,0.7003647364388556,0
APP,CLU,0.2,0.0,0.0,190,5.044917425358422e-07,1.0517888450444224e-05,0
APOE,VLDLR,0.3,0.0,0.0,190,0.0392268354272465,0.12670452006547225,0
APOE,SREBF2,0.6,0.0,0.0,69,0.36810819351518465,0.5604273492975198,0
SAR1A,SEC16A,0.4,0.0,0.0,190,0.031833839927163717,0.10842416767271602,0
BACE1,ADAM10,0.3,0.0,0.0,182,0.10892122634641621,0.2611073300569141,0
BACE1,ECE1,0.2,0.0,0.0,182,0.18788519422620362,0.3742295283585568,0
BACE1,APP,0.9,0.0,0.0,182,0.07383640543189479,0.19538248821978313,0
TMED2,ABCA7,0.3,0.0,0.0,114,0.12406111330393034,0.2865890324996866,0
TMED2,ARF6,0.5,0.0,0.0,190,0.30804370689154176,0.49866840080324876,0
TMED2,COPA,0.7,0.0,0.0,190,0.040860886365665636,0.13075483637013002,0
BACE1,EIF2S1,0.2,0.0,0.0,182,0.4652357470128488,0.6466306948380606,0
GGA2,BACE1,0.7,0.0,0.0,182,0.19291442732118014,0.3742295283585568,0
GGA2,GGA1,0.3,0.0,0.0,190,0.15095098824121275,0.3220447466324961,0
GGA3,GGA1,0.3,0.0,0.0,190,0.02950769007035191,0.10357801412450059,0
GGA3,BACE1,0.7,0.0,0.0,182,0.5427547587144944,0.7099149695733311,0
GGA3,SORL1,0.3,0.0,0.0,190,0.02255053581455719,0.08619315911341859,0
GORASP1,SEC24D,0.3,0.0,0.0,52,0.0055251474540964915,0.02794990963870543,0
GORASP1,TMED2,0.4,0.0,0.0,52,0.8563983825592517,0.9421829632083537,0
GGA3,GGA2,0.3,0.0,0.0,190,0.7712685330630126,0.8858643585097707,0
HSPA5,EIF2S1,0.4,0.0,0.0,190,5.720569651037813e-05,0.0006904827929673712,0
SAR1A,SEC23A,0.7,0.0,0.0,190,0.6138737629810156,0.767900270783525,0
SAR1A,SEC24A,0.6,0.0,0.0,190,0.2608575996541174,0.4509297200051075,0
SAR1A,SEC24B,0.6,0.0,0.0,190,0.3150713753179127,0.5041142005086603,0
SAR1A,SEC24C,0.6,0.0,0.0,190,0.46137895913448906,0.6438716508813965,0
SAR1A,SEC31A,0.3,0.0,0.0,190,0.18514292010227798,0.3739956895203777,0
GGA1,SORT1,0.3,0.0,0.0,190,0.9538342234159801,0.9883101592021,0
SAR1A,SEC13,0.3,0.0,0.0,190,0.752621065006099,0.8761477034250358,0
TMED2,OSBP,0.6,0.0,0.0,190,0.0633523753364104,0.18390900519599307,0
TMED2,HSPA9,0.2,0.0,0.0,190,0.9426944510301201,0.9871747067103844,0
TMED2,HSPA5,0.4,0.0,0.0,190,0.0009265089153754328,0.007499272162097621,0
TMED2,COPB2,0.6,0.0,0.0,190,2.572223287090672e-05,0.0003403249272150735,0
SAR1B,TMED10,0.4,0.0,0.0,190,0.0031454060619638988,0.01983655473257574,0
SEC13,SEC24D,0.3,0.0,0.0,190,0.5913830325798822,0.7520730617651736,0
HSPA5,SIGMAR1,0.3,0.0,0.0,155,0.20750780997998744,0.3965704812950871,0
TMED2,PREB,0.3,0.0,0.0,190,0.1499228806786864,0.3220447466324961,0
MAPK14,BACE1,0.4,0.0,0.0,173,0.8026519487824642,0.9097603636941274,0
MAP2K3,TMED10,0.2,0.0,0.0,172,0.2474019426984348,0.435492234165483,0
MAP2K3,PSEN1,0.2,0.0,0.0,172,0.6994184664229103,0.83437048458714,0
VPS29,VPS35,0.5,0.0,0.0,190,8.276063508572037e-12,7.117414617371953e-10,0
MAPK14,TMED10,0.2,0.0,0.0,181,0.022856804871459222,0.08635931546123643,0
MAPK14,MAP2K3,0.3,0.0,0.0,172,0.8112915426568084,0.9150304612260396,0
VPS29,VPS26A,0.5,0.0,0.0,190,2.9218168724206438e-08,8.375875034272513e-07,0
TMED2,RAB1A,0.4,0.0,0.0,190,3.679054077162825e-05,0.0004687387416829673,0
MFN2,EIF2S1,0.4,0.0,0.0,190,0.2747337284854155,0.46214377799013656,0
MAPKAPK2,MAPK14,0.3,0.0,0.0,139,0.26843116725522964,0.4571303046326683,0
MFN2,HSPA5,0.3,0.0,0.0,190,0.005565607006544541,0.02794990963870543,0
MFN2,HSPA9,0.4,0.0,0.0,190,1.5602664777802758e-09,6.709145854455185e-08,0
TMED9,SEC24D,0.5,0.0,0.0,190,0.37688293944329143,0.5661472976790054,0
ADAM10,PSEN1,0.2,0.0,0.0,190,0.09824299683575868,0.24053801360498922,0
MFN2,ITPR2,0.5,0.0,0.0,190,0.4134867061446552,0.6014352089376803,0
AP2A1,BIN1,0.3,0.0,0.0,190,7.151102862247479e-05,0.0007935417369719784,0
VPS35,GGA1,0.3,0.0,0.0,190,0.001327740226953481,0.010263879507235897,0
AP2A1,AP2B1,0.5,0.0,0.0,190,4.044210328225366e-40,1.3912083529095259e-37,0
VPS35,PICALM,0.3,0.0,0.0,190,0.023096095995446955,0.08635931546123643,0
ADAM10,APP,0.8,0.0,0.0,190,0.004439019408132568,0.024047601203111866,0
VPS35,SNX6,0.4,0.0,0.0,190,0.008392994721024017,0.03928149910247975,0
VPS35,SORL1,0.5,0.0,0.0,190,0.2644893669157294,0.4537872429875856,0
VPS35,TMED10,0.2,0.0,0.0,190,0.003430761707505494,0.020389079681220865,0
VPS35,VPS26A,0.5,0.0,0.0,190,0.00012795809397150962,0.0013543872100369018,0
