source,target,prior_C,W,beta,n_pairwise,p_corr,q_fdr,data_supported
ARF6,LRP1,0.3,0.0024,-0.0307,676,0.48237370386806505,0.5396310703434614,0
BIN1,SORL1,0.3,0.0024,0.0092,676,0.4895755454799227,0.5456700388712918,0
PSEN1,MAP2K3,0.2,0.0024,-0.0244,665,0.7558917536100671,0.7939748495934751,0
ADAM10,TMED10,0.2,0.0021,0.0008,676,0.7898854068426189,0.8271554945323011,0
ARF6,APP,0.3,0.0021,-0.2589,676,0.5458876491608018,0.6009131241962107,0
APBA1,LRP1,0.2,0.002,0.0985,676,0.394457303016352,0.4470949332376445,0
TMED10,SORT1,0.2,0.0017,-0.0549,676,0.45379127537381647,0.5101444402895192,0
SAR1B,APP,0.4,0.0016,0.264,676,0.7231638584429068,0.7689903162422254,0
PICALM,VPS35,0.3,0.0013,0.2202,676,0.9111269161918459,0.9300524010979081,0
APOE,MFN2,0.3,0.0013,-0.0018,676,0.699500298318649,0.7484544405026913,0
AP2A1,APP,0.6,0.0013,-0.0473,676,0.8494534262473546,0.8788330184333535,0
BACE1,GGA2,0.2,0.0012,0.0276,676,0.8761955582021659,0.8970573572069794,0
VPS26A,SNX4,0.3,0.0011,-0.0015,676,0.921333997939974,0.9390782082706698,0
ABCA7,APP,0.5,0.0011,-0.2241,629,0.8566441052318504,0.8822921323346005,0
SORL1,APP,0.8,0.001,-0.4243,676,0.9752561823558892,0.9795273773151121,0
SREBF2,APOE,0.3,0.0008,0.0054,484,0.9536070765533926,0.963409205093589,0
SEC23B,APP,0.3,0.0008,-0.1136,676,0.8186250209462675,0.8482138771250483,0
SEC24A,BACE1,0.2,0.0008,-0.0193,676,0.719457361834182,0.7674211859564608,0
APBA1,APP,0.7,0.0008,0.1491,676,0.9229967176858123,0.9393812748044954,0
SAR1B,BACE1,0.2,0.0008,-0.0008,676,0.71712134323428,0.7661172114055662,0
ABCA7,VPS35,0.2,0.0008,0.0298,629,0.7465504297946309,0.7889810993835731,0
SIGMAR1,HSPA5,0.4,0.0007,-0.0136,656,0.9635205337381799,0.9705741247611533,0
TMED2,SORT1,0.2,0.0005,0.055,676,0.9481672076765513,0.9621519747514268,0
TMED9,PICALM,0.2,0.0005,0.0018,676,0.8175854308325954,0.8482138771250483,0
SYK,APP,0.2,0.0004,-0.1775,670,0.8753249054128138,0.8970573572069794,0
GORASP1,APP,0.3,0.0003,-0.2018,533,0.9403166764188229,0.955595086227696,0
VDAC1,APP,0.2,0.0002,0.11,676,0.9773554443908301,0.9802048771733107,0
APOE,SORL1,0.3,0.0002,-0.0008,676,0.9831490818176859,0.9831490818176859,0
PSEN1,LRP1,0.2,0.0001,-0.0231,676,0.9496201200475209,0.9622071319480036,0
VLDLR,APP,0.2,0.0001,0.2466,676,0.978793903977712,0.9802186403736038,0
TMED9,PSEN1,0.8,0.0,0.0,676,0.015510905922929587,0.023557402373014475,0
SIGMAR1,MFN2,0.3,0.0,0.0,656,0.5347680845588275,0.5915119649139443,0
SEC31A,SAR1A,0.3,0.0,0.0,676,1.221506093493933e-05,2.7827688487543903e-05,0
SEC24D,SEC23B,0.5,0.0,0.0,676,8.332501323449363e-05,0.00016960831096251956,0
SEC24D,TMED2,0.4,0.0,0.0,676,0.8545743829889488,0.8814800232329787,0
ITPR1,EIF2S1,0.5,0.0,0.0,676,3.692098395407759e-06,9.007672680994817e-06,0
IDE,LRP1,0.3,0.0,0.0,676,0.664671036120105,0.7156395506269676,0
IDE,APP,0.4,0.0,0.0,676,0.5652335039820056,0.6172708741898727,0
HSPA9,VDAC1,0.3,0.0,0.0,676,1.2675705603610292e-06,3.303365702759046e-06,0
SEC23A,TMED10,0.3,0.0,0.0,676,4.27203553372091e-15,2.3326670215872904e-14,0
SEC23A,SEC24C,0.6,0.0,0.0,676,1.599604122929213e-47,3.4391488642978082e-46,0
SEC23A,TMED2,0.3,0.0,0.0,676,5.647476673546346e-17,3.631274720934473e-16,0
MFN2,ITPR2,0.5,0.0,0.0,676,0.25004063332943915,0.2930629569517106,0
SEC24A,SAR1A,0.3,0.0,0.0,676,3.673234837724817e-12,1.6410295898406974e-11,0
LRP1,APOE,0.3,0.0,0.0,676,0.08351063677959221,0.11027892150548838,0
SNX6,SNX4,0.3,0.0,0.0,676,1.179227045911592e-10,4.409283736886822e-10,0
LRP1,PICALM,0.3,0.0,0.0,676,2.95727181152287e-15,1.695502505273112e-14,0
MAP2K3,MAPK14,0.8,0.0,0.0,661,0.002528169671723306,0.0043593502108913145,0
ITPR2,VDAC1,0.3,0.0,0.0,676,0.1295933466502695,0.160649049541235,0
ITPR1,OSBP,0.3,0.0,0.0,676,0.15576917850765398,0.1900163028604006,0
ITPR1,SIGMAR1,0.3,0.0,0.0,656,0.1997682707851141,0.23902707878288434,0
SEC24D,MIA3,0.3,0.0,0.0,676,0.02656901984406858,0.03816176545452857,0
SEC24C,TMED2,0.4,0.0,0.0,676,4.710477698067017e-18,3.3410398518248535e-17,0
SEC24C,TMED10,0.4,0.0,0.0,676,1.0729347558798222e-22,9.975393406017805e-22,0
SEC24C,SAR1A,0.3,0.0,0.0,676,2.778679108367011e-07,7.708593655469771e-07,0
SEC24B,TMED2,0.2,0.0,0.0,676,9.820259792181511e-12,4.170579467296839e-11,0
SEC24B,SEC23A,0.4,0.0,0.0,676,7.127736531916658e-16,4.301651521016369e-15,0
SEC24B,SAR1A,0.3,0.0,0.0,676,0.0002643266114403915,0.0005079796331591881,0
SEC24D,OSBP,0.4,0.0,0.0,676,3.436746866803787e-11,1.3827379206789506e-10,0
SORL1,TMED10,0.2,0.0,0.0,676,2.2530883515851825e-05,4.9683486727263e-05,0
SEC24D,SEC16A,0.4,0.0,0.0,676,9.083982277383481e-08,2.659480768868015e-07,0
