region,depth,n,auroc,null_mean,null_sd,z,p_vs_random_same_size,q_fdr,strong
educ <= 14 (low third)  AND  age_at_visit_max > 88.9 (upper half),2,87,0.5886,0.57315,0.01119,1.38029,0.09453,0.33234,False
celltype_oligodendrocyte <= -0.371 (low third)  AND  Study = ROS,2,40,0.57821,0.55707,0.01541,1.37213,0.08458,0.32101,False
apoe_genotype = 33,1,256,0.59795,0.59032,0.0057,1.34052,0.08458,0.32101,False
ceradsc = 4  AND  age_at_visit_max > 88.9 (upper half),2,44,0.57767,0.55707,0.01541,1.33674,0.08458,0.32101,False
ceradsc = 4  AND  celltype_microglia > 0.197 (high third),2,42,0.57757,0.55707,0.01541,1.33021,0.08458,0.32101,False
apoe_genotype = 33  AND  celltype_microglia <= -0.284 (low third),2,88,0.58801,0.57315,0.01119,1.32797,0.10448,0.34896,False
educ <= 14 (low third)  AND  age_death 86.8-90 (middle third),2,113,0.59124,0.57772,0.01037,1.30352,0.09453,0.33234,False
ceradsc = 4  AND  age_death > 89.4 (upper half),2,42,0.57713,0.55707,0.01541,1.30191,0.10448,0.34896,False
educ <= 14 (low third)  AND  age_at_visit_max <= 88.9 (lower half),2,71,0.58535,0.56884,0.01271,1.29825,0.10945,0.35492,False
braaksc <= 4 (lower half),1,326,0.59706,0.59243,0.00358,1.29503,0.10945,0.35492,False
apoe_genotype = 33  AND  celltype_endothelial > -0.043 (upper half),2,120,0.5907,0.5785,0.00948,1.28694,0.11443,0.35719,False
celltype_oligodendrocyte <= -0.127 (lower half)  AND  age_death <= 89.4 (lower half),2,78,0.58635,0.56979,0.01307,1.26695,0.10448,0.34896,False
educ <= 14 (low third)  AND  Study = MAP,2,141,0.5942,0.58165,0.00994,1.26258,0.1194,0.36255,False
ceradsc = 4  AND  age_at_visit_max <= 88.9 (lower half),2,62,0.58145,0.56586,0.01248,1.24912,0.10945,0.35492,False
dcfdx_lv = 1,1,174,0.59439,0.58359,0.00871,1.23932,0.12935,0.36926,False
ceradsc = 4  AND  age_death <= 89.4 (lower half),2,64,0.58128,0.56586,0.01248,1.23588,0.11443,0.35719,False
celltype_oligodendrocyte <= -0.371 (low third)  AND  ceradsc = 2,2,47,0.57829,0.56094,0.01428,1.21507,0.11443,0.35719,False
celltype_oligodendrocyte <= -0.371 (low third)  AND  braaksc 3-4 (middle third),2,51,0.57804,0.56094,0.01428,1.19698,0.1194,0.36255,False
educ <= 14 (low third)  AND  celltype_oligodendrocyte <= -0.371 (low third),2,56,0.5807,0.56586,0.01248,1.18923,0.1194,0.36255,False
apoe_genotype = 33  AND  educ 14-18 (middle third),2,101,0.58727,0.57425,0.01099,1.18474,0.11443,0.35719,False
