region,depth,n,auroc,null_mean,null_sd,z,p_vs_random_same_size,q_fdr,strong
celltype_oligodendrocyte -0.482-0.323 (middle third)  AND  celltype_microglia <= -0.289 (low third),2,105,0.6335,0.61518,0.01441,1.27117,0.10945,0.2349,False
celltype_oligodendrocyte -0.482-0.323 (middle third)  AND  cohort = ROS,2,67,0.62722,0.60589,0.01728,1.23471,0.12935,0.25778,False
ADoutcome = Other  AND  celltype_astrocyte > 0.236 (high third),2,50,0.61877,0.59712,0.0176,1.23042,0.0995,0.22388,False
ADoutcome = Other  AND  celltype_microglia > 0.179 (high third),2,47,0.61869,0.59712,0.0176,1.22599,0.0995,0.22388,False
celltype_oligodendrocyte -0.482-0.323 (middle third)  AND  celltype_endothelial <= -0.0425 (lower half),2,142,0.63637,0.62091,0.01264,1.22294,0.12935,0.25778,False
celltype_oligodendrocyte -0.482-0.323 (middle third)  AND  apoeGenotype = 34,2,103,0.6327,0.61518,0.01441,1.21574,0.11443,0.24371,False
apoeGenotype = 33,1,449,0.64604,0.6378,0.00682,1.2084,0.1194,0.25048,False
PMI 5.17-10 (middle third)  AND  amyA = Thal Phase 4 or 5,2,62,0.62169,0.60113,0.01702,1.20755,0.12438,0.2533,False
ADoutcome = Other  AND  celltype_astrocyte > 0.0206 (upper half),2,85,0.62777,0.608,0.01655,1.19444,0.10945,0.2349,False
celltype_oligodendrocyte -0.482-0.323 (middle third)  AND  celltype_endothelial -0.298-0.239 (middle third),2,121,0.63422,0.61752,0.01399,1.19415,0.12438,0.2533,False
celltype_oligodendrocyte -0.482-0.323 (middle third)  AND  PMI <= 5.17 (low third),2,95,0.63239,0.61518,0.01441,1.19407,0.1194,0.25048,False
PMI 5.17-10 (middle third)  AND  reag = Low Likelihood,2,73,0.62647,0.60589,0.01728,1.19098,0.1393,0.27179,False
PMI 5.17-10 (middle third)  AND  reag = High Likelihood,2,99,0.63232,0.61518,0.01441,1.18923,0.12438,0.2533,False
celltype_astrocyte > 0.236 (high third),1,321,0.64356,0.6341,0.00802,1.17879,0.10945,0.2349,False
celltype_oligodendrocyte -0.482-0.323 (middle third)  AND  celltype_microglia <= -0.0479 (lower half),2,168,0.64018,0.62669,0.01146,1.17592,0.13433,0.26393,False
PMI 5.17-10 (middle third)  AND  apoeGenotype = 34,2,90,0.63183,0.61275,0.01629,1.17126,0.12935,0.25778,False
celltype_oligodendrocyte -0.482-0.323 (middle third)  AND  apoeGenotype = 33,2,131,0.63492,0.62014,0.01282,1.15296,0.12438,0.2533,False
ADoutcome = Other  AND  celltype_neuron -0.0632-0.277 (middle third),2,57,0.61961,0.60113,0.01702,1.08536,0.17413,0.32174,False
celltype_oligodendrocyte -0.482-0.323 (middle third)  AND  sex = male,2,129,0.63384,0.62014,0.01282,1.06815,0.14428,0.27761,False
PMI 5.17-10 (middle third)  AND  celltype_astrocyte <= -0.213 (low third),2,83,0.62515,0.608,0.01655,1.03611,0.14428,0.27761,False
celltype_oligodendrocyte -0.482-0.323 (middle third)  AND  bScore = Braak Stage I-II,2,53,0.61497,0.59712,0.0176,1.01476,0.14925,0.28522,False
celltype_oligodendrocyte -0.482-0.323 (middle third)  AND  race = White,2,175,0.63861,0.62702,0.01145,1.01215,0.15423,0.29074,False
