step,variable,adjusted_for,auroc,null_mean,gain_vs_current,z_vs_shuffled,n_subjects,kind
5,celltype_microglia,proteomePC1 + proteomePC8 + celltype_astrocyte + amyAny + celltype_microglia,0.63482,0.63548,-0.00068,-2.6,676,proteome-derived
5,celltype_oligodendrocyte,proteomePC1 + proteomePC8 + celltype_astrocyte + amyAny + celltype_oligodendrocyte,0.63352,0.63559,-0.00197,-10.17,676,proteome-derived
5,celltype_endothelial,proteomePC1 + proteomePC8 + celltype_astrocyte + amyAny + celltype_endothelial,0.62422,0.63547,-0.01127,-28.71,676,proteome-derived
5,proteomePC2,proteomePC1 + proteomePC8 + celltype_astrocyte + amyAny + proteomePC2,0.60082,0.63558,-0.03467,-139.99,676,proteome-derived
5,proteomePC3,proteomePC1 + proteomePC8 + celltype_astrocyte + amyAny + proteomePC3,0.63243,0.63556,-0.00307,-8.07,676,proteome-derived
5,proteomePC4,proteomePC1 + proteomePC8 + celltype_astrocyte + amyAny + proteomePC4,0.64166,0.63542,0.00617,22.49,676,proteome-derived
5,proteomePC5,proteomePC1 + proteomePC8 + celltype_astrocyte + amyAny + proteomePC5,0.62742,0.63536,-0.00807,-42.39,676,proteome-derived
5,proteomePC6,proteomePC1 + proteomePC8 + celltype_astrocyte + amyAny + proteomePC6,0.63741,0.63551,0.00191,7.61,676,proteome-derived
5,proteomePC7,proteomePC1 + proteomePC8 + celltype_astrocyte + amyAny + proteomePC7,0.62529,0.63549,-0.0102,-43.95,676,proteome-derived
5,proteomePC9,proteomePC1 + proteomePC8 + celltype_astrocyte + amyAny + proteomePC9,0.6431,0.63557,0.00761,25.26,676,proteome-derived
5,proteomePC10,proteomePC1 + proteomePC8 + celltype_astrocyte + amyAny + proteomePC10,0.63476,0.63555,-0.00073,-3.85,676,proteome-derived
