version,variable,from_bucket,to_bucket,protein,beta,se,z,p,n,strata,strata_same_sign,q
nocell,amyThal,3,4,COPB2,0.059115387904434526,0.2242233401578846,0.26364511322866313,0.7920533926699653,272.0,2.0,2.0,0.8800593251888503
nocell,amyThal,4,5,COPB2,0.12075413712261576,0.1961606712899146,0.6155879072423638,0.5381665344676719,272.0,2.0,1.0,0.9982796124437098
nocell,amyThal,1,2,COPE,0.7029458257468599,0.35294522205502726,1.9916570102690454,0.04640870358568077,272.0,2.0,2.0,0.5447406652221544
nocell,amyThal,2,3,COPE,-0.5745747939334369,0.32153828224498143,-1.786956097176839,0.07394458464636253,272.0,2.0,2.0,0.6690950995765862
nocell,amyThal,3,4,COPE,-0.031082450778572013,0.24103503640332963,-0.12895407755809,0.8973939861390106,272.0,2.0,1.0,0.938052186248829
nocell,amyThal,4,5,COPE,0.020590302311974246,0.21004102986570555,0.09802990551483735,0.9219085465615523,272.0,2.0,1.0,0.9982796124437098
nocell,amyThal,1,2,COPG1,0.7034759824996677,0.32891741444422123,2.1387617426348378,0.032454969324559164,272.0,2.0,2.0,0.5447406652221544
nocell,amyThal,2,3,COPG1,-0.543556043864562,0.3004260297110676,-1.809284116916643,0.0704068752445368,272.0,2.0,2.0,0.6690950995765862
nocell,amyThal,3,4,COPG1,0.21938136121657972,0.22133164403895192,0.9911884139710769,0.32159358691715867,272.0,2.0,1.0,0.7375718830141845
nocell,amyThal,4,5,COPG1,-0.005506270704126508,0.1937902361172599,-0.028413561046464364,0.9773323084175737,272.0,2.0,1.0,0.9982796124437098
nocell,amyThal,1,2,COPG2,-0.19753337324442036,0.268592554590699,-0.7354387523713611,0.46207232815616006,272.0,2.0,1.0,0.8214619167220624
nocell,amyThal,2,3,COPG2,-0.006251331637477984,0.2440120346901332,-0.025618948038429522,0.979561272680594,272.0,2.0,1.0,0.979561272680594
nocell,amyThal,3,4,COPG2,-0.19456950700023048,0.18647123269485275,-1.0434290811957574,0.29674961056680826,272.0,2.0,2.0,0.7193929953134747
nocell,amyThal,4,5,COPG2,0.004771073672029527,0.16161733546630155,0.029520803930246284,0.9764492270341298,272.0,2.0,1.0,0.9982796124437098
nocell,amyThal,1,2,COPZ1,0.3521469582916707,0.3319117319725442,1.0609656856624772,0.28870549584804495,272.0,2.0,2.0,0.6125751888448999
nocell,amyThal,2,3,COPZ1,-0.5078681413794118,0.30141655489622265,-1.6849377817163036,0.0920005761917806,272.0,2.0,2.0,0.6690950995765862
nocell,amyThal,3,4,COPZ1,0.07239897472245846,0.23098572425159755,0.3134348451924199,0.7539503143126036,272.0,2.0,1.0,0.8800593251888503
nocell,amyThal,4,5,COPZ1,0.09923318594125043,0.2000385071804723,0.49607041834062204,0.619844729231616,272.0,2.0,1.0,0.9982796124437098
nocell,amyThal,1,2,ECE1,-0.112265432088894,0.30686925829502343,-0.36584124689662545,0.7144835396622503,272.0,2.0,1.0,0.911973599985102
nocell,amyThal,2,3,ECE1,0.165545457316395,0.27894498888107466,0.5934699095346488,0.5528667148640577,272.0,2.0,1.0,0.8852736224651625
nocell,amyThal,3,4,ECE1,0.0596611177005136,0.21231590299942785,0.2810016435776569,0.778709139212161,272.0,2.0,1.0,0.8800593251888503
nocell,amyThal,4,5,ECE1,0.13120688050033136,0.1842265028531143,0.7122041534107825,0.4763383653770753,272.0,2.0,2.0,0.9982796124437098
nocell,amyThal,1,2,EIF2S1,0.48826006736716565,0.3328115230685615,1.467076809316427,0.14235516193855707,272.0,2.0,2.0,0.5876508208627079
