version,variable,cohort,protein,from_bucket,to_bucket,beta,se,n,p
cell,sex,Diverse,AP3B2,female,male,-0.04898613419761495,0.15572566601767687,54,0.7530905424858509
cell,sex,Diverse,AP4B1,female,male,0.1662757078671915,0.4129116398085285,54,0.6871757218290799
cell,sex,Diverse,AP4E1,female,male,0.3994469659211317,0.3015851336640567,52,0.18533984232163925
cell,sex,Diverse,AP4S1,female,male,-0.36328706511423703,0.22539423067842917,54,0.10700870923283863
cell,sex,Diverse,APBA1,female,male,-0.010815133375478746,0.17579096848456532,54,0.9509429440961711
cell,sex,Diverse,APBA2,female,male,0.040368222419750306,0.20719450900776568,54,0.8455240851273503
cell,sex,Diverse,APOE,female,male,-0.20752729015823113,0.24553920633983684,54,0.3980047457394027
cell,sex,Diverse,APP,female,male,-0.5717709650689862,0.253307090371869,54,0.023994051575272932
cell,sex,Diverse,ARF6,female,male,0.07870647085740726,0.18349507315239627,54,0.6679744483109664
cell,sex,Diverse,BACE1,female,male,-0.16330128639641744,0.2102143428677573,54,0.43725773171144555
cell,sex,Diverse,BIN1,female,male,0.1706327023779335,0.14706552020404767,54,0.24594722181364037
cell,sex,Diverse,CLU,female,male,-0.09178349384306479,0.20219107077078857,54,0.6498688827272208
cell,sex,Diverse,COPA,female,male,-0.09504348314590344,0.2546184764294554,54,0.7089415266251807
cell,sex,Diverse,COPB1,female,male,-0.22894753965881065,0.2535992455612703,54,0.36663594288420054
cell,sex,Diverse,COPB2,female,male,-0.17945550094808363,0.22394049681339975,54,0.4229270266924374
cell,sex,Diverse,COPE,female,male,-0.12787259787078104,0.23007543082334,54,0.5783574708158099
cell,sex,Diverse,COPG1,female,male,0.0035353981529454848,0.2481871673639906,54,0.9886346089683218
cell,sex,Diverse,COPG2,female,male,0.10721960225417765,0.19555492987285578,54,0.5834970415040295
cell,sex,Diverse,COPZ1,female,male,-0.5942011467615576,0.30175374910389435,54,0.04893482174104
cell,sex,Diverse,ECE1,female,male,-0.06779582837962017,0.28278054876533604,54,0.8105262864746869
cell,sex,Diverse,EIF2S1,female,male,-0.5575138386600889,0.3250666629609023,54,0.08633140292751786
cell,sex,Diverse,GGA1,female,male,0.043967030840229133,0.18389679986598473,54,0.8110394010720869
cell,sex,Diverse,GGA2,female,male,0.1541436401462276,0.2154312170921556,54,0.4742926736662766
cell,sex,Diverse,GGA3,female,male,-0.2544116082967208,0.173919925425054,54,0.14351968732080084
cell,sex,Diverse,GORASP1,female,male,0.03818641880320481,0.3930995647864469,51,0.9226137468171257
cell,sex,Diverse,HSPA5,female,male,-0.29623407890259607,0.2865170109895394,54,0.3011761573449767
cell,sex,Diverse,HSPA9,female,male,0.02174581568561233,0.22098053196584325,54,0.9216098908877182
cell,sex,Diverse,IDE,female,male,-0.12030975838917425,0.2953712623803162,54,0.6837751240169812
cell,sex,Diverse,ITPR1,female,male,-0.16700336619146383,0.12033969170685531,54,0.16520822614640607
cell,sex,Diverse,ITPR2,female,male,-0.04140139095170495,0.19711136071312751,54,0.8336359757072205
cell,sex,Diverse,LRP1,female,male,-0.10103309973628367,0.17394718695851205,54,0.5613575326731948
cell,sex,Diverse,MAP2K3,female,male,0.5402069252318876,0.21733811175540405,54,0.012934776700964597
cell,sex,Diverse,MAPK14,female,male,-0.03717552500670035,0.2263447506780801,54,0.8695399068255008
cell,sex,Diverse,MAPKAPK2,female,male,0.07498169089910182,0.20949445013359103,54,0.7204051931883142
cell,sex,Diverse,MFN2,female,male,0.011357501045330589,0.18341509437795933,54,0.9506246368981499
cell,sex,Diverse,MIA3,female,male,-0.012310766591090563,0.18715396011237584,54,0.9475539191703053
cell,sex,Diverse,NCSTN,female,male,0.3947359539908773,0.2503797252968542,54,0.11489929101295886
cell,sex,Diverse,OSBP,female,male,0.284981490486211,0.24884208267848332,54,0.25211377409890845
cell,sex,Diverse,PICALM,female,male,0.2771631935528107,0.24514316789285528,54,0.2582160534508191
cell,sex,Diverse,PLCG2,female,male,-0.08528271753049205,0.19968671013522252,54,0.669319172614808
cell,sex,Diverse,PLG,female,male,0.4100245216343064,0.2782476039938001,54,0.14059043251267228
cell,sex,Diverse,PREB,female,male,-0.06215059613675561,0.28671197353914624,54,0.8283874794269394
cell,sex,Diverse,PSEN1,female,male,0.565873557730757,0.3275556927216998,54,0.08406634777329772
cell,sex,Diverse,RAB1A,female,male,-0.15313349111512992,0.13218964210266843,54,0.24668538102499116
cell,sex,Diverse,RAB1B,female,male,-0.12830304604613196,0.12602771238482247,54,0.30865218364663094
cell,sex,Diverse,RTN3,female,male,0.11973784990742753,0.1728992570387167,54,0.48860481626337393
cell,sex,Diverse,RTN4,female,male,0.21636776740740649,0.17384179989610438,54,0.21326980149002028
cell,sex,Diverse,SAR1A,female,male,-0.014583098668799581,0.20707729950222561,54,0.943856624024809
