variable,state,config,rep_edges,rep_pos,rep_top,lambda_used,density,sink_entropy,sink_pmax,kendall,best_minus_mean,C_enrich_+5,C_z_+5,C_enrich_+3,C_z_+3,C_enrich_-1,C_z_-1,C_enrich_-2,C_z_-2,C_orient,acyclic
ceradsc,3,LAMBDA_MODE=quantile|LAMBDA=0.12|LAMBDA_Q=0.9|TAU_A_RATIO=0.5|T_SOFTMAX=0.05|SHRINK_SCALE=1.0|CONTEXT=all,0.11142475121347829,0.436052508204407,0.1366906474820144,0.07760996698595318,0.279743670886076,0.6132368619125704,0.25224896777102307,0.47924448426848393,0.014755560808807827,1.3207161795566495,5.013734616907238,0.9955392221018935,-0.02469019956570606,0.9259185357011799,-2.815655004330318,1.0207860911210653,0.7413864222518101,0.547655690399689,True
ceradsc,3,LAMBDA_MODE=quantile|LAMBDA=0.12|LAMBDA_Q=0.95|TAU_A_RATIO=0.5|T_SOFTMAX=0.05|SHRINK_SCALE=1.0|CONTEXT=all,0.10338096508170311,0.44653070792311306,0.12857142857142856,0.0945856960799907,0.2449651898734177,0.6438522617094078,0.21566386024844286,0.5749200824518341,0.011624060385782842,1.2974950412062691,4.899744442033063,0.9968244401697646,-0.004526322536295045,0.930025372322294,-2.7260934020474856,1.0217904523323331,0.7946056620529917,0.5529376216443191,True
ceradsc,3,LAMBDA_MODE=abs|LAMBDA=0.15|LAMBDA_Q=0.85|TAU_A_RATIO=0.5|T_SOFTMAX=0.05|SHRINK_SCALE=1.0|CONTEXT=all,0.08847436500992396,0.43573860607057463,0.1166077738515901,0.15,0.19007120253164556,0.7991948771016746,0.10824316438110906,0.5382146370948298,0.008907126218561101,1.2447726362551714,5.161799471150966,1.0223559768935149,0.8523694119736712,0.956718681845057,-2.2951978760624447,1.0135016638500152,0.7880465746791268,0.5727853910107341,True
ceradsc,3,LAMBDA_MODE=abs|LAMBDA=0.15|LAMBDA_Q=0.85|TAU_A_RATIO=0.5|T_SOFTMAX=0.05|SHRINK_SCALE=1.5|CONTEXT=all,0.08467771644622377,0.3957711894769641,0.0896551724137931,0.15,0.16001424050632912,0.8875108615095776,0.06655794765508988,0.3941759207810308,0.005866287318981936,1.184748907415766,4.847248043744156,1.036922787844269,1.653729854927465,0.9802022457446815,-1.2614446351287132,1.006769914396021,0.717853776970591,0.594676056071106,True
ceradsc,3,LAMBDA_MODE=abs|LAMBDA=0.15|LAMBDA_Q=0.85|TAU_A_RATIO=0.5|T_SOFTMAX=0.05|SHRINK_SCALE=2.0|CONTEXT=all,0.01829402644377758,0.48248945147679323,0.025974025974025976,0.15,0.13581962025316457,0.9559110998960064,0.03286207356479111,0.2366127559255798,0.001837012411206665,1.0539555986608193,1.421642266517833,1.0530422804805935,2.6981711209057657,0.9936139234534509,-0.3986959934653919,0.9955975050451965,-0.20240334291845247,0.5853456522246332,True
ceradsc,3,LAMBDA_MODE=abs|LAMBDA=0.15|LAMBDA_Q=0.85|TAU_A_RATIO=0.5|T_SOFTMAX=0.05|SHRINK_SCALE=3.0|CONTEXT=all,0.009361574176366369,0.023113392758122367,0.025974025974025976,0.15,0.11877373417721518,1.0,0.0125,0.006270305859338227,2.7755575615628914e-17,0.9883263287145772,-0.42154901333871675,1.0346761940718767,1.7656888591258535,1.008928651990797,0.8006644125484574,0.9989918209832014,-0.17742349964096,0.5345090155945419,True
ceradsc,3,LAMBDA_MODE=abs|LAMBDA=0.15|LAMBDA_Q=0.85|TAU_A_RATIO=0.5|T_SOFTMAX=0.05|SHRINK_SCALE=1.0|CONTEXT=no_pmi,0.09230149104397385,0.4799957805742325,0.1166077738515901,0.15,0.1888132911392405,0.8102405667980936,0.09872708319399075,0.5406168130793267,0.0105232624943397,1.2398392032302152,5.32976435995359,1.02912241139872,1.1101444398464433,0.9538391603363866,-2.4069519671498982,1.0134490758987407,0.7748864931179233,0.5590675978883672,True
ceradsc,3,LAMBDA_MODE=abs|LAMBDA=0.15|LAMBDA_Q=0.85|TAU_A_RATIO=0.5|T_SOFTMAX=0.05|SHRINK_SCALE=1.5|CONTEXT=no_pmi,0.06867712165782258,0.45512722840164554,0.0711864406779661,0.15,0.15841930379746838,0.8925704076501652,0.06507286143235874,0.3830917342667619,0.005450618305317581,1.1690695353192648,4.193410142961517,1.0282157878304443,1.295347041400122,0.984352946976154,-0.9413475439496097,1.0076011340380493,0.683178498099243,0.6068635221177594,True
ceradsc,3,LAMBDA_MODE=abs|LAMBDA=0.15|LAMBDA_Q=0.85|TAU_A_RATIO=0.5|T_SOFTMAX=0.05|SHRINK_SCALE=2.0|CONTEXT=no_pmi,-0.021642554978123826,0.4896564657681122,0.022653721682847898,0.15,0.13555221518987343,0.9556093555277962,0.03262052254717341,0.22247970562100625,0.001959826063262421,1.056514581923289,1.6292545856365102,1.0521222089541191,2.5459418294461766,0.9964308972709117,-0.20370430934168088,1.0070935313001679,0.48865227033826336,0.5839435575898704,True
ceradsc,3,LAMBDA_MODE=abs|LAMBDA=0.15|LAMBDA_Q=0.85|TAU_A_RATIO=0.5|T_SOFTMAX=0.05|SHRINK_SCALE=3.0|CONTEXT=no_pmi,0.013994037928079213,-0.0027192864221558207,0.01935483870967742,0.15,0.11879430379746836,1.0,0.0125,0.006928761018260635,2.7755575615628914e-17,0.9891762657660434,-0.37672237233029365,1.0306648145023816,1.5484657422487325,1.0066938192647519,0.6009328505049628,0.9995558900054748,-0.13915040536027284,0.5345935502078654,True
ceradsc,3,LAMBDA_MODE=abs|LAMBDA=0.15|LAMBDA_Q=0.85|TAU_A_RATIO=0.5|T_SOFTMAX=0.05|SHRINK_SCALE=1.0|CONTEXT=none,0.1069673300581207,0.5330200012984243,0.1166077738515901,0.15,0.1852151898734177,0.8182113866125241,0.10061865779235535,0.5375696856911281,0.008081120505815761,1.2285409832041958,4.946026369803999,1.022246042662725,0.7433026243716461,0.9725109325921284,-1.4958422964871505,1.0122626552435152,0.7250624283913003,0.5914145080359644,True
ceradsc,3,LAMBDA_MODE=abs|LAMBDA=0.15|LAMBDA_Q=0.85|TAU_A_RATIO=0.5|T_SOFTMAX=0.05|SHRINK_SCALE=1.5|CONTEXT=none,0.08289935812425815,0.5137629733033211,0.07849829351535836,0.15,0.15559493670886076,0.9014763982158254,0.058655769874312313,0.35134739063249804,0.004480610029189841,1.1643713378971294,4.379841180085765,1.0339192780751476,1.5140037145959568,0.9922300655296512,-0.4449159983778538,1.0030519435425433,0.4080320924215661,0.5986103164613291,True
ceradsc,3,LAMBDA_MODE=abs|LAMBDA=0.15|LAMBDA_Q=0.85|TAU_A_RATIO=0.5|T_SOFTMAX=0.05|SHRINK_SCALE=2.0|CONTEXT=none,-0.011255335754463752,0.46491402856016323,0.032679738562091505,0.15,0.13452848101265824,0.9619993284753068,0.030278935326850387,0.21260536086166876,0.002426583377470995,1.0645988220143285,1.9491557582969161,1.0471862444791764,2.2870354020383905,0.9966863416065435,-0.275806810918672,1.0067589473799525,0.43169068001954625,0.5729145091135046,True
ceradsc,3,LAMBDA_MODE=abs|LAMBDA=0.15|LAMBDA_Q=0.85|TAU_A_RATIO=0.5|T_SOFTMAX=0.05|SHRINK_SCALE=3.0|CONTEXT=none,0.011367896290599533,-0.027333036404979024,0.025974025974025976,0.15,0.118875,1.0,0.0125,0.005697264463512021,2.7755575615628914e-17,0.9905357334841638,-0.35117456689319776,1.0289642550161386,1.4644818678534612,1.0063323601493184,0.5833056866635049,1.0009437290737901,-0.042748187896590184,0.53401283011495,True
