57 states, 2 workers, solver=lw
  [46/57] cts_mmse30_lv=6-12 n=30 ok best=0.5138 2.4s
  [47/57] TangleTotal=0-3 n=24 ok best=0.5169 2.1s
  [48/57] amyThal=2 n=29 ok best=0.516 2.4s
  [49/57] TangleTotal=9-12 n=23 ok best=0.5113 1.9s
  [50/57] PlaqueTotal=9-12 n=22 ok best=0.5116 2.3s
  [51/57] cts_mmse30_first_ad_dx=12-18 n=20 ok best=0.5137 2.1s
  [52/57] PlaqueTotal=6-9 n=15 ok best=0.5191 2.3s
  [53/57] cts_mmse30_first_ad_dx=6-12 n=13 ok best=0.5414 2.3s
  [54/57] PlaqueTotal=3-6 n=13 ok best=0.5169 2.4s
  [55/57] apoe_genotype=22 n=8 ok best=0.5292 2.3s
  [56/57] cts_mmse30_first_ad_dx=0-6 n=6 ok best=0.5279 2.5s
  [57/57] braaksc=0 n=6 ok best=0.5332 2.3s
done in 69s -> /home/claude/cw/big1/results_sweep_top4/summary.csv
57 states, 2 workers, solver=lw
  [1/57] sex=female n=941 ok best=0.4175 2.5s
  [2/57] apoe_genotype=33 n=804 ok best=0.4222 2.5s
  [3/57] sex=male n=629 ok best=0.4289 2.4s
  [4/57] amyAny=1 n=521 ok best=0.4301 2.4s
  [5/57] apoe_genotype=34 n=422 ok best=0.4131 2.3s
  [6/57] cts_mmse30_lv=24-30 n=367 ok best=0.403 2.2s
  [7/57] amyCerad=3 n=333 ok best=0.426 2.5s
  [8/57] braaksc=4 n=360 ok best=0.3996 2.6s
  [9/57] braaksc=5 n=310 ok best=0.4039 2.2s
  [10/57] braaksc=3 n=321 ok best=0.4106 2.4s
  [11/57] braaksc=6 n=268 ok best=0.4228 2.2s
  [12/57] amyA=3 n=277 ok best=0.428 2.6s
  [13/57] ceradsc=3 n=219 ok best=0.3861 2.3s
  [14/57] reag=3 n=244 ok best=0.4171 2.6s
  [15/57] amyThal=5 n=218 ok best=0.4291 2.6s
  [16/57] reag=2 n=218 ok best=0.4188 2.6s
  [17/57] reag=1 n=197 ok best=0.4164 2.5s
  [18/57] amyCerad=0 n=171 ok best=0.4086 2.5s
  [19/57] ceradsc=2 n=169 ok best=0.3913 2.6s
  [20/57] amyAny=0 n=171 ok best=0.4067 2.6s
  [21/57] ceradsc=0 n=144 ok best=0.3794 2.1s
  [22/57] apoe_genotype=23 n=158 ok best=0.3958 2.3s
  [23/57] braaksc=2 n=142 ok best=0.3909 2.3s
  [24/57] amyCerad=2 n=140 ok best=0.4074 2.7s
  [25/57] braaksc=1 n=106 ok best=0.3919 2.6s
  [26/57] PlaqueTotal=12-15 n=97 ok best=0.3817 2.6s
  [27/57] cts_mmse30_lv=18-24 n=75 ok best=0.3708 2.1s
  [28/57] apoe_genotype=44 n=68 ok best=0.3822 2.4s
